source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
AML-135	Homo sapiens	Blood	not applicable	Acute leukemia	1	AML-135	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	AML-135.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD001170/AML-135.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
AML-212	Homo sapiens	Blood	not applicable	Acute leukemia	1	AML-212	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	AML-212.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD001170/AML-212.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
AML286_2	Homo sapiens	Blood	not applicable	Acute leukemia	2	AML286_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	AML286_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD001170/AML286_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
AML215	Homo sapiens	Blood	not applicable	Acute leukemia	1	AML215	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	AML215.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD001170/AML215.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
AML240_2	Homo sapiens	Blood	not applicable	Acute leukemia	2	AML240_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	AML240_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD001170/AML240_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
AML-240A	Homo sapiens	Blood	not applicable	Acute leukemia	1	AML-240A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	AML-240A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD001170/AML-240A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
AML135	Homo sapiens	Blood	not applicable	Acute leukemia	1	AML135	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	AML135.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD001170/AML135.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
AML-272	Homo sapiens	Blood	not applicable	Acute leukemia	1	AML-272	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	AML-272.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD001170/AML-272.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
BC758	Homo sapiens	Blood	not applicable	Acute leukemia	1	BC758	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BC758.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD001170/BC758.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
AML347	Homo sapiens	Blood	not applicable	Acute leukemia	1	AML347	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	AML347.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD001170/AML347.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
