source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[treatment]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]	factor value[enrichment process]
HELF_Anti_C_1	Homo sapiens	lung	fibroblast	cell	normal	not available	not available	not available	antisense LINC01021 RNA	control	1	YAS202503280009-1-Anti-C-1_Slot1-64_1_21924	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.05 Da	1	1	YAS202503280009-1-Anti-C-1_Slot1-64_1_21924.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	antisense LINC01021 RNA	control
HELF_Anti_C_3	Homo sapiens	lung	fibroblast	cell	normal	not available	not available	not available	antisense LINC01021 RNA	control	3	YAS202503280009-1-Anti-C-3_Slot1-68_1_21929	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.05 Da	1	1	YAS202503280009-1-Anti-C-3_Slot1-68_1_21929.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	antisense LINC01021 RNA	control
HELF_Anti_P_1	Homo sapiens	lung	fibroblast	cell	normal	not available	not available	not available	antisense LINC01021 RNA	RNA pull-down	1	YAS202503280009-1-Anti-P-1_Slot1-65_1_21925	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.05 Da	1	1	YAS202503280009-1-Anti-P-1_Slot1-65_1_21925.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	antisense LINC01021 RNA	RNA pull-down
HELF_Anti_P_3	Homo sapiens	lung	fibroblast	cell	normal	not available	not available	not available	antisense LINC01021 RNA	RNA pull-down	3	YAS202503280009-1-Anti-P-3_Slot1-69_1_21930	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.05 Da	1	1	YAS202503280009-1-Anti-P-3_Slot1-69_1_21930.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	antisense LINC01021 RNA	RNA pull-down
HELF_Sen_C_1	Homo sapiens	lung	fibroblast	cell	normal	not available	not available	not available	sense LINC01021 RNA	control	1	YAS202503280009-1-Sen-C-1_Slot1-66_1_21926	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.05 Da	1	1	YAS202503280009-1-Sen-C-1_Slot1-66_1_21926.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	sense LINC01021 RNA	control
HELF_Sen_C_3	Homo sapiens	lung	fibroblast	cell	normal	not available	not available	not available	sense LINC01021 RNA	control	3	YAS202503280009-1-Sen-C-3_Slot1-70_1_21931	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.05 Da	1	1	YAS202503280009-1-Sen-C-3_Slot1-70_1_21931.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	sense LINC01021 RNA	control
HELF_Sen_P_1	Homo sapiens	lung	fibroblast	cell	normal	not available	not available	not available	sense LINC01021 RNA	RNA pull-down	1	YAS202503280009-1-Sen-P-1_Slot1-67_1_21927	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.05 Da	1	1	YAS202503280009-1-Sen-P-1_Slot1-67_1_21927.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	sense LINC01021 RNA	RNA pull-down
HELF_Sen_P_3	Homo sapiens	lung	fibroblast	cell	normal	not available	not available	not available	sense LINC01021 RNA	RNA pull-down	3	YAS202503280009-1-Sen-P-3_Slot1-71_1_21932	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.05 Da	1	1	YAS202503280009-1-Sen-P-3_Slot1-71_1_21932.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	sense LINC01021 RNA	RNA pull-down
