source name	characteristics[organism]	characteristics[strain or breed]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD006120-Sample-1	Drosophila melanogaster	not available	heart	not available	adult	1W	1	KR_150601_Elite_W1118_1wk_2-11-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	KR_150601_Elite_W1118_1wk_2-11-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006120-Sample-2	Drosophila melanogaster	not available	heart	not available	adult	1W	1	KR_150601_Elite_W1118_1wk_2-17-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	KR_150601_Elite_W1118_1wk_2-17-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006120-Sample-3	Drosophila melanogaster	not available	heart	not available	adult	1W	1	KR_150601_Elite_W1118_1wk_2-26-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	KR_150601_Elite_W1118_1wk_2-26-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006120-Sample-4	Drosophila melanogaster	not available	heart	not available	adult	1W	1	KR_150601_Elite_W1118_1wk_3-14-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	KR_150601_Elite_W1118_1wk_3-14-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006120-Sample-5	Drosophila melanogaster	not available	heart	not available	adult	1W	1	KR_150601_Elite_w1118_5wk_2-11-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	KR_150601_Elite_w1118_5wk_2-11-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006120-Sample-6	Drosophila melanogaster	not available	heart	not available	adult	1W	1	KR_150601_Elite_w1118_5wk_2-25-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	KR_150601_Elite_w1118_5wk_2-25-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006120-Sample-7	Drosophila melanogaster	not available	heart	not available	adult	1W	1	KR_150601_Elite_w1118_5wk_2-9-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	KR_150601_Elite_w1118_5wk_2-9-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006120-Sample-8	Drosophila melanogaster	not available	heart	not available	adult	1W	1	KR_150601_Elite_w1118_5wk_3-2-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	KR_150601_Elite_w1118_5wk_3-2-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006120-Sample-9	Drosophila melanogaster	not available	heart	not available	adult	1W	1	KR_150601_Elite_yw_1wk_2-12-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	KR_150601_Elite_yw_1wk_2-12-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006120-Sample-10	Drosophila melanogaster	not available	heart	not available	adult	1W	1	KR_150601_Elite_yw_1wk_2-16-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	KR_150601_Elite_yw_1wk_2-16-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006120-Sample-11	Drosophila melanogaster	not available	heart	not available	adult	1W	1	KR_150601_Elite_yw_1wk_2-19-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	KR_150601_Elite_yw_1wk_2-19-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006120-Sample-12	Drosophila melanogaster	not available	heart	not available	adult	1W	1	KR_150601_Elite_yw_1wk_2-27-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	KR_150601_Elite_yw_1wk_2-27-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD006120-Sample-13	Drosophila melanogaster	not available	heart	not available	adult	1W	1	KR_150601_Elite_yw_5wk_2-10-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	KR_150601_Elite_yw_5wk_2-10-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
