source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]
Sample1	Escherichia coli	cell	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	20210524_CG_R1min_3_duplicate.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=lys-c;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=higher energy collisional dissociation	20 ppm	0.02 Da	not available
Sample2	Escherichia coli	cell	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	20210524_CD_R5min_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=lys-c;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=higher energy collisional dissociation	20 ppm	0.02 Da	not available
Sample3	Escherichia coli	cell	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	20210524_C_R_5min_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=lys-c;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=higher energy collisional dissociation	20 ppm	0.02 Da	not available
Sample4	Escherichia coli	cell	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	2	20210524_C_R_5min_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=lys-c;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=higher energy collisional dissociation	20 ppm	0.02 Da	not available
Sample5	Escherichia coli	cell	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	2	20210524_CG_R5min_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=lys-c;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=higher energy collisional dissociation	20 ppm	0.02 Da	not available
Sample6	Escherichia coli	cell	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	20210524_C_N_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=lys-c;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=higher energy collisional dissociation	20 ppm	0.02 Da	not available
Sample7	Escherichia coli	cell	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	20210524_CD_N1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=lys-c;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=higher energy collisional dissociation	20 ppm	0.02 Da	not available
Sample8	Escherichia coli	cell	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	3	20210524_CD_R1min_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=lys-c;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=higher energy collisional dissociation	20 ppm	0.02 Da	not available
Sample9	Escherichia coli	cell	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	3	20210524_CG_R5min_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=lys-c;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=higher energy collisional dissociation	20 ppm	0.02 Da	not available
Sample10	Escherichia coli	cell	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	2	20210524_C_R_2hr_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=lys-c;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=higher energy collisional dissociation	20 ppm	0.02 Da	not available
Sample11	Escherichia coli	cell	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	3	20211015_CG_R5min_3_duplicate.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=lys-c;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=higher energy collisional dissociation	20 ppm	0.02 Da	not available
Sample12	Escherichia coli	cell	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	2	20211015_CG_N2_duplicate.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=lys-c;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=higher energy collisional dissociation	20 ppm	0.02 Da	not available
Sample13	Escherichia coli	cell	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	20210524_C_R_2hr_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf-x;AC=MS:1002877	NT=lys-c;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=higher energy collisional dissociation	20 ppm	0.02 Da	not available
