source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
2X1	Staphylococcus aureus	not available	1	2X1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	2X1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BSAL2	Staphylococcus aureus	not available	1	BSAL2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	BSAL2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
blank	Staphylococcus aureus	not available	1	blank	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	blank.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BPA1	Staphylococcus aureus	not available	1	BPA1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	BPA1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PAL3	Staphylococcus aureus	not available	1	PAL3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	PAL3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PSA3	Staphylococcus aureus	not available	1	PSA3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	PSA3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PSA2	Staphylococcus aureus	not available	1	PSA2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	PSA2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PAL1	Staphylococcus aureus	not available	1	PAL1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	PAL1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SAL1	Staphylococcus aureus	not available	1	SAL1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	SAL1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2X3	Staphylococcus aureus	not available	1	2X3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	2X3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BPA2	Staphylococcus aureus	not available	1	BPA2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	BPA2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PAL2	Staphylococcus aureus	not available	1	PAL2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	PAL2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BSAL3	Staphylococcus aureus	not available	1	BSAL3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	BSAL3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SAL3	Staphylococcus aureus	not available	1	SAL3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	SAL3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2X2	Staphylococcus aureus	not available	1	2X2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	2X2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BSAL1	Staphylococcus aureus	not available	1	BSAL1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	BSAL1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PSA1	Staphylococcus aureus	not available	1	PSA1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	PSA1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BPA3	Staphylococcus aureus	not available	1	BPA3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	BPA3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SAL2	Staphylococcus aureus	not available	1	SAL2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	SAL2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
