source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
PRIDE_Exp_Complete_Ac_29448.pride	Homo sapiens	Epithelial cell	not applicable	not available	1	PRIDE_Exp_Complete_Ac_29448.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_29448.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000218/generated/PRIDE_Exp_Complete_Ac_29448.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
PRIDE_Exp_Complete_Ac_29382.pride	Homo sapiens	Epithelial cell	not applicable	not available	1	PRIDE_Exp_Complete_Ac_29382.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_29382.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000218/generated/PRIDE_Exp_Complete_Ac_29382.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
PRIDE_Exp_Complete_Ac_29407.pride	Homo sapiens	Epithelial cell	not applicable	not available	1	PRIDE_Exp_Complete_Ac_29407.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_29407.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000218/generated/PRIDE_Exp_Complete_Ac_29407.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
PRIDE_Exp_Complete_Ac_29406.pride	Homo sapiens	Epithelial cell	not applicable	not available	1	PRIDE_Exp_Complete_Ac_29406.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_29406.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000218/generated/PRIDE_Exp_Complete_Ac_29406.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
PRIDE_Exp_Complete_Ac_29430.pride	Homo sapiens	Epithelial cell	not applicable	not available	1	PRIDE_Exp_Complete_Ac_29430.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_29430.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000218/generated/PRIDE_Exp_Complete_Ac_29430.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
PRIDE_Exp_Complete_Ac_29361.pride	Homo sapiens	Epithelial cell	not applicable	not available	1	PRIDE_Exp_Complete_Ac_29361.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_29361.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000218/generated/PRIDE_Exp_Complete_Ac_29361.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
PRIDE_Exp_Complete_Ac_29436.pride	Homo sapiens	Epithelial cell	not applicable	not available	1	PRIDE_Exp_Complete_Ac_29436.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_29436.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000218/generated/PRIDE_Exp_Complete_Ac_29436.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
PRIDE_Exp_Complete_Ac_29402.pride	Homo sapiens	Epithelial cell	not applicable	not available	1	PRIDE_Exp_Complete_Ac_29402.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_29402.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000218/generated/PRIDE_Exp_Complete_Ac_29402.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
PRIDE_Exp_Complete_Ac_29367.pride	Homo sapiens	Epithelial cell	not applicable	not available	1	PRIDE_Exp_Complete_Ac_29367.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_29367.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000218/generated/PRIDE_Exp_Complete_Ac_29367.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
PRIDE_Exp_Complete_Ac_29441.pride	Homo sapiens	Epithelial cell	not applicable	not available	1	PRIDE_Exp_Complete_Ac_29441.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_29441.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000218/generated/PRIDE_Exp_Complete_Ac_29441.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
