source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]
Hep3B sample 1	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	1	cell line	Hep3B	CVCL_0326	Hep 3B	not available	not available	run 1	proteomic profiling by mass spectrometry	3	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hep3B_R1_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	hepatocellular carcinoma
Hep3B sample 1	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	1	cell line	Hep3B	CVCL_0326	Hep 3B	not available	not available	run 2	proteomic profiling by mass spectrometry	4	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hep3B_R1_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	hepatocellular carcinoma
Hep3B sample 1	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	1	cell line	Hep3B	CVCL_0326	Hep 3B	not available	not available	run 3	proteomic profiling by mass spectrometry	5	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hep3B_R1_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	hepatocellular carcinoma
Hep3B sample 2	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	2	cell line	Hep3B	CVCL_0326	Hep 3B	not available	not available	run 4	proteomic profiling by mass spectrometry	1	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hep3B_R2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	hepatocellular carcinoma
Hep3B sample 2	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	2	cell line	Hep3B	CVCL_0326	Hep 3B	not available	not available	run 5	proteomic profiling by mass spectrometry	3	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hep3B_R2_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	hepatocellular carcinoma
Hep3B sample 2	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	2	cell line	Hep3B	CVCL_0326	Hep 3B	not available	not available	run 6	proteomic profiling by mass spectrometry	4	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hep3B_R2_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	hepatocellular carcinoma
Hep3B sample 2	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	2	cell line	Hep3B	CVCL_0326	Hep 3B	not available	not available	run 7	proteomic profiling by mass spectrometry	5	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hep3B_R2_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	hepatocellular carcinoma
Hep3B sample 2	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	2	cell line	Hep3B	CVCL_0326	Hep 3B	not available	not available	run 8	proteomic profiling by mass spectrometry	6	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hep3B_R2_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	hepatocellular carcinoma
Hep3B sample 3	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	3	cell line	Hep3B	CVCL_0326	Hep 3B	not available	not available	run 9	proteomic profiling by mass spectrometry	1	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hep3B_R3_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	hepatocellular carcinoma
Hep3B sample 3	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	3	cell line	Hep3B	CVCL_0326	Hep 3B	not available	not available	run 10	proteomic profiling by mass spectrometry	3	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	Hep3B_R3_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	hepatocellular carcinoma
