source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[strain or breed]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[bait]
PfEAF2_IP	Plasmodium falciparum	not applicable	malaria	not applicable	cell	3D7	1	20191220_10-3_GFP-Trap	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20191220_10-3_GFP-Trap.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PfEAF2 IP
PfEAF2_IP	Plasmodium falciparum	not applicable	malaria	not applicable	cell	3D7	2	20210205_Miao_10-3G_DAMP1-R2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20210205_Miao_10-3G_DAMP1-R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PfEAF2 IP
PfEAF2_IP	Plasmodium falciparum	not applicable	malaria	not applicable	cell	3D7	3	20210205_Miao_10-3G_DAMP1-R3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20210205_Miao_10-3G_DAMP1-R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PfEAF2 IP
PfEAF2_control	Plasmodium falciparum	not applicable	malaria	not applicable	cell	3D7	1	MSB16403A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MSB16403A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PfEAF2 control IP
PfEAF2_control	Plasmodium falciparum	not applicable	malaria	not applicable	cell	3D7	2	MSB16405A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MSB16405A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PfEAF2 control IP
PfEAF2_control	Plasmodium falciparum	not applicable	malaria	not applicable	cell	3D7	3	MSB33025A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MSB33025A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PfEAF2 control IP
PfMYST_IP	Plasmodium falciparum	not applicable	malaria	not applicable	cell	3D7	1	20210831_F2T21-nuc-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20210831_F2T21-nuc-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PfMYST IP
PfMYST_IP	Plasmodium falciparum	not applicable	malaria	not applicable	cell	3D7	2	20210831_F2T21-nuc-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20210831_F2T21-nuc-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PfMYST IP
PfMYST_control	Plasmodium falciparum	not applicable	malaria	not applicable	cell	3D7	1	MSB16404A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MSB16404A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PfMYST control IP
PfMYST_control	Plasmodium falciparum	not applicable	malaria	not applicable	cell	3D7	2	20191220_Stress-schi-Control-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20191220_Stress-schi-Control-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PfMYST control IP
