source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[material type]	characteristics[sampling site]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[genotype]	characteristics[genetic modification]	characteristics[compound]	characteristics[dose]	characteristics[exposure duration]	characteristics[passage number]	characteristics[culture medium]	characteristics[cell line authentication]	characteristics[sample storage temperature]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
UOK342_WT_1	Homo sapiens	kidney	not available	UOK342	not available	not available	renal cell carcinoma	cell line	kidney	not available	not available	not available	not available	miniTurbo-TEAD1-HaloTag	overexpression	biotin	500 uM	10 minute	not available	not available	not available	not available	1	RO_481_CS_241105_CaiD_YW_C5R1	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.02 Da	1	1	RO_481_CS_241105_CaiD_YW_C5R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	miniTurbo-TEAD1-HaloTag
UOK342_WT_2	Homo sapiens	kidney	not available	UOK342	not available	not available	renal cell carcinoma	cell line	kidney	not available	not available	not available	not available	miniTurbo-TEAD1-HaloTag	overexpression	biotin	500 uM	10 minute	not available	not available	not available	not available	2	RO_481_CS_241105_CaiD_YW_C5R2	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.02 Da	1	1	RO_481_CS_241105_CaiD_YW_C5R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	miniTurbo-TEAD1-HaloTag
UOK342_WT_3	Homo sapiens	kidney	not available	UOK342	not available	not available	renal cell carcinoma	cell line	kidney	not available	not available	not available	not available	miniTurbo-TEAD1-HaloTag	overexpression	biotin	500 uM	10 minute	not available	not available	not available	not available	3	RO_481_CS_241105_CaiD_YW_C5R3	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.02 Da	1	1	RO_481_CS_241105_CaiD_YW_C5R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	miniTurbo-TEAD1-HaloTag
UOK342_H3Mut_1	Homo sapiens	kidney	not available	UOK342	not available	not available	renal cell carcinoma	cell line	kidney	not available	not available	not available	not available	miniTurbo-TEAD1-H3Mut-HaloTag	overexpression	biotin	500 uM	10 minute	not available	not available	not available	not available	1	RO_481_CS_241105_CaiD_YW_H3M4	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.02 Da	1	1	RO_481_CS_241105_CaiD_YW_H3M4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	miniTurbo-TEAD1-H3Mut-HaloTag
UOK342_H3Mut_2	Homo sapiens	kidney	not available	UOK342	not available	not available	renal cell carcinoma	cell line	kidney	not available	not available	not available	not available	miniTurbo-TEAD1-H3Mut-HaloTag	overexpression	biotin	500 uM	10 minute	not available	not available	not available	not available	2	RO_481_CS_241105_CaiD_YW_H3M5	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.02 Da	1	1	RO_481_CS_241105_CaiD_YW_H3M5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	miniTurbo-TEAD1-H3Mut-HaloTag
UOK342_H3Mut_3	Homo sapiens	kidney	not available	UOK342	not available	not available	renal cell carcinoma	cell line	kidney	not available	not available	not available	not available	miniTurbo-TEAD1-H3Mut-HaloTag	overexpression	biotin	500 uM	10 minute	not available	not available	not available	not available	3	RO_481_CS_241105_CaiD_YW_H3M6	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	10 ppm	0.02 Da	1	1	RO_481_CS_241105_CaiD_YW_H3M6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	miniTurbo-TEAD1-H3Mut-HaloTag
