source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[treatment]	characteristics[enrichment process]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[culture medium]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	factor value[sampling time]	factor value[treatment]
CellDeath3hDDA_mock1_DMSO_3hour_rep1	Homo sapiens	pleural effusion	1	adult acute monocytic leukemia	cell line	3 hour	DMSO	enrichment of phosphorylated protein	European ancestry	37Y	male	adult	U937	CVCL_0007	U-937	pleural effusion	Roswell Park Memorial Institute 1640 Medium	mock control line 1	20170819_QX6_MaTa_SA_mock_1_DMSO_180min_1	proteomic profiling by mass spectrometry	1	20170819_QX6_MaTa_SA_mock_1_DMSO_180min_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	3 hour	DMSO
CellDeath3hDDA_mock1_DMSO_3hour_rep4	Homo sapiens	pleural effusion	4	adult acute monocytic leukemia	cell line	3 hour	DMSO	enrichment of phosphorylated protein	European ancestry	37Y	male	adult	U937	CVCL_0007	U-937	pleural effusion	Roswell Park Memorial Institute 1640 Medium	mock control line 1	20170819_QX6_MaTa_SA_mock_1_DMSO_180min_4	proteomic profiling by mass spectrometry	1	20170819_QX6_MaTa_SA_mock_1_DMSO_180min_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	3 hour	DMSO
CellDeath3hDDA_mock1_birinapant+emricasan+TNF_3hour_rep1	Homo sapiens	pleural effusion	1	adult acute monocytic leukemia	cell line	3 hour	birinapant + emricasan + TNF	enrichment of phosphorylated protein	European ancestry	37Y	male	adult	U937	CVCL_0007	U-937	pleural effusion	Roswell Park Memorial Institute 1640 Medium	mock control line 1	20170819_QX6_MaTa_SA_mock_1_TSI_180min_1	proteomic profiling by mass spectrometry	1	20170819_QX6_MaTa_SA_mock_1_TSI_180min_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	3 hour	birinapant + emricasan + TNF
CellDeath3hDDA_mock1_birinapant+emricasan+TNF_3hour_rep2	Homo sapiens	pleural effusion	2	adult acute monocytic leukemia	cell line	3 hour	birinapant + emricasan + TNF	enrichment of phosphorylated protein	European ancestry	37Y	male	adult	U937	CVCL_0007	U-937	pleural effusion	Roswell Park Memorial Institute 1640 Medium	mock control line 1	20170819_QX6_MaTa_SA_mock_1_TSI_180min_2	proteomic profiling by mass spectrometry	1	20170819_QX6_MaTa_SA_mock_1_TSI_180min_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	3 hour	birinapant + emricasan + TNF
CellDeath3hDDA_mock1_birinapant+emricasan+TNF_3hour_rep4	Homo sapiens	pleural effusion	4	adult acute monocytic leukemia	cell line	3 hour	birinapant + emricasan + TNF	enrichment of phosphorylated protein	European ancestry	37Y	male	adult	U937	CVCL_0007	U-937	pleural effusion	Roswell Park Memorial Institute 1640 Medium	mock control line 1	20170819_QX6_MaTa_SA_mock_1_TSI_180min_4	proteomic profiling by mass spectrometry	1	20170819_QX6_MaTa_SA_mock_1_TSI_180min_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	3 hour	birinapant + emricasan + TNF
CellDeath3hDDA_mock1_birinapant+TNF_3hour_rep1	Homo sapiens	pleural effusion	1	adult acute monocytic leukemia	cell line	3 hour	birinapant + TNF	enrichment of phosphorylated protein	European ancestry	37Y	male	adult	U937	CVCL_0007	U-937	pleural effusion	Roswell Park Memorial Institute 1640 Medium	mock control line 1	20170819_QX6_MaTa_SA_mock_1_TS_180min_1	proteomic profiling by mass spectrometry	1	20170819_QX6_MaTa_SA_mock_1_TS_180min_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	3 hour	birinapant + TNF
CellDeath3hDDA_mock1_birinapant+TNF_3hour_rep2	Homo sapiens	pleural effusion	2	adult acute monocytic leukemia	cell line	3 hour	birinapant + TNF	enrichment of phosphorylated protein	European ancestry	37Y	male	adult	U937	CVCL_0007	U-937	pleural effusion	Roswell Park Memorial Institute 1640 Medium	mock control line 1	20170819_QX6_MaTa_SA_mock_1_TS_180min_2	proteomic profiling by mass spectrometry	1	20170819_QX6_MaTa_SA_mock_1_TS_180min_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	3 hour	birinapant + TNF
CellDeath3hDDA_mock1_birinapant+TNF_3hour_rep4	Homo sapiens	pleural effusion	4	adult acute monocytic leukemia	cell line	3 hour	birinapant + TNF	enrichment of phosphorylated protein	European ancestry	37Y	male	adult	U937	CVCL_0007	U-937	pleural effusion	Roswell Park Memorial Institute 1640 Medium	mock control line 1	20170819_QX6_MaTa_SA_mock_1_TS_180min_4	proteomic profiling by mass spectrometry	1	20170819_QX6_MaTa_SA_mock_1_TS_180min_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	3 hour	birinapant + TNF
CellDeath3hDDA_mock1_TNF_3hour_rep1	Homo sapiens	pleural effusion	1	adult acute monocytic leukemia	cell line	3 hour	TNF	enrichment of phosphorylated protein	European ancestry	37Y	male	adult	U937	CVCL_0007	U-937	pleural effusion	Roswell Park Memorial Institute 1640 Medium	mock control line 1	20170819_QX6_MaTa_SA_mock_1_T_180min_1	proteomic profiling by mass spectrometry	1	20170819_QX6_MaTa_SA_mock_1_T_180min_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	3 hour	TNF
CellDeath3hDDA_mock1_TNF_3hour_rep2	Homo sapiens	pleural effusion	2	adult acute monocytic leukemia	cell line	3 hour	TNF	enrichment of phosphorylated protein	European ancestry	37Y	male	adult	U937	CVCL_0007	U-937	pleural effusion	Roswell Park Memorial Institute 1640 Medium	mock control line 1	20170819_QX6_MaTa_SA_mock_1_T_180min_2	proteomic profiling by mass spectrometry	1	20170819_QX6_MaTa_SA_mock_1_T_180min_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	3 hour	TNF
