source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[reduction]
SV2A_reduced	Homo sapiens	not applicable	not applicable	not available	not applicable	not applicable	recombinant protein	1	HSV2A_reduced	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=glutamyl endopeptidase;AC=MS:1001917	NT=Carboxymethyl;AC=UNIMOD:6;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	not available	NT=Iodoacetic acid (IAC);AC=PRIDE:0000601	NT=HCD;AC=PRIDE:0000590	15 ppm	0.03 Da	1	1	HSV2A_reduced.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	reduced
SV2A_non-reduced	Homo sapiens	not applicable	not applicable	not available	not applicable	not applicable	recombinant protein	1	HSV2A_non-reduced	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=glutamyl endopeptidase;AC=MS:1001917	NT=Carboxymethyl;AC=UNIMOD:6;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	not applicable	NT=Iodoacetic acid (IAC);AC=PRIDE:0000601	NT=HCD;AC=PRIDE:0000590	15 ppm	0.03 Da	1	1	HSV2A_non-reduced.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	non-reduced
