source name	characteristics[organism part]	characteristics[disease]	characteristics[organism]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[data file]	comment[proteomics data acquisition method]	comment[technical replicate]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
Calu6_I_Immunopeptidomics_CHEMO 3 HLA-I_targeted	lung	NSCLC	Homo sapiens	not available	not available	61Y	female	Calu6	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	label	timsTOF	not applicable	2103	TTU_YS_22366_2103_p38_05092024_9-6-2024_1872.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NSCLC
H441_I_Immunopeptidomics_targeted_HLA-I	lung	NSCLC	Homo sapiens	not available	not available	37Y	male	H441	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	label	NT=Q Exactive HF;AC=MS:1002523	not applicable	1005	QEP2_13770_YSA_1005_1_250421.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NSCLC
SPC86_I_Immunopeptidomics_targeted_HLA-I	pancreas	PDAC	Homo sapiens	not available	not available	not available	not available	SPC86	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	label	NT=Q Exactive HF;AC=MS:1002523	not applicable	952	QEP2_13617_YSA_952_1_180421.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	PDAC
SW620_A0301_I_Immunopeptidomics_DMSO 1 HLA-I_discovery	colon	CRC	Homo sapiens	not available	not available	51Y	male	SW620	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	timsTOF	not applicable	1928	TTU_YS_21572_1928_discovery_6-3-2024_461.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	CRC
SW620_A0301_I_Immunopeptidomics_DMSO 2 HLA-I_discovery	colon	CRC	Homo sapiens	not available	not available	51Y	male	SW620	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	timsTOF	not applicable	1929	TTU_YS_21572_1929_discovery_6-5-2024_476.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	CRC
SW620_A0301_I_Immunopeptidomics_DMSO 3 HLA-I_discovery	colon	CRC	Homo sapiens	not available	not available	51Y	male	SW620	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	timsTOF	not applicable	1930	TTU_YS_21572_1930_discovery_6-5-2024_477.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	CRC
SW620_A0301_I_Immunopeptidomics_CHEMO 1 HLA-I_discovery	colon	CRC	Homo sapiens	not available	not available	51Y	male	SW620	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	timsTOF	not applicable	1931	TTU_YS_21572_1931_discovery_6-4-2024_470.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	CRC
SW620_A0301_I_Immunopeptidomics_CHEMO 2 HLA-I_discovery	colon	CRC	Homo sapiens	not available	not available	51Y	male	SW620	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	timsTOF	not applicable	1932	TTU_YS_21572_1932_discovery_6-4-2024_471.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	CRC
SW620_A0301_I_Immunopeptidomics_CHEMO 3 HLA-I_discovery	colon	CRC	Homo sapiens	not available	not available	51Y	male	SW620	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	timsTOF	not applicable	1933	TTU_YS_21572_1933_discovery_6-4-2024_472.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	CRC
SW620_A0301_I_Immunopeptidomics_DMSO 1 HLA-I_targeted	colon	CRC	Homo sapiens	not available	not available	51Y	male	SW620	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	label	timsTOF	not applicable	1928	TTU_YS_21571_1928_418p_PRM_6-9-2024_482.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	CRC
SW620_A0301_I_Immunopeptidomics_DMSO 2 HLA-I_targeted	colon	CRC	Homo sapiens	not available	not available	51Y	male	SW620	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	label	timsTOF	not applicable	1929	TTU_YS_21571_1929_418p_PRM_6-9-2024_483.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	CRC
SW620_A0301_I_Immunopeptidomics_DMSO 3 HLA-I_targeted	colon	CRC	Homo sapiens	not available	not available	51Y	male	SW620	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	label	timsTOF	not applicable	1930	TTU_YS_21571_1930_418p_PRM_6-9-2024_484.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	CRC
SW620_A0301_I_Immunopeptidomics_CHEMO 1 HLA-I_targeted	colon	CRC	Homo sapiens	not available	not available	51Y	male	SW620	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	label	timsTOF	not applicable	1931	TTU_YS_21571_1931_418p_PRM_6-9-2024_485.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	CRC
SW620_A0301_I_Immunopeptidomics_CHEMO 2 HLA-I_targeted	colon	CRC	Homo sapiens	not available	not available	51Y	male	SW620	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	label	timsTOF	not applicable	1932	TTU_YS_21571_1932_418p_PRM_6-9-2024_486.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	CRC
SW620_A0301_I_Immunopeptidomics_CHEMO 3 HLA-I_targeted	colon	CRC	Homo sapiens	not available	not available	51Y	male	SW620	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	label	timsTOF	not applicable	1933	TTU_YS_21571_1933_418p_PRM_6-9-2024_487.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	CRC
T135_I_Immunopeptidomics_DMSO  HLA-I_discovery	skin	melanoma	Homo sapiens	not available	not available	not available	not available	T135	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	timsTOF	not applicable	2014	TTU_YS_22396_2014_09092024_9-9-2024_1892.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	melanoma
T135_I_Immunopeptidomics_CHEMO  HLA-I_discovery	skin	melanoma	Homo sapiens	not available	not available	not available	not available	T135	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	timsTOF	not applicable	2015	TTU_YS_22396_2015_09092024_9-9-2024_1893.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	melanoma
T135_I_Immunopeptidomics_DMSO  HLA-I_targeted	skin	melanoma	Homo sapiens	not available	not available	not available	not available	T135	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	label	timsTOF	not applicable	2014	TTU_YS_22397_2104_p38_05092024_9-6-2024_1874.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	melanoma
T135_I_Immunopeptidomics_CHEMO  HLA-I_targeted	skin	melanoma	Homo sapiens	not available	not available	not available	not available	T135	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	label	timsTOF	not applicable	2015	TTU_YS_22397_2105_p38_05092024_9-6-2024_1875.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	melanoma
