source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
PTA46_DMSO_Tris	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	untreated	tissue	study sample	pooled	1	run 1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	2012-09-26_velos_0818.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
PTA46_EPO_Tris	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	epoxomicin	tissue	study sample	pooled	1	run 2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	2012-09-26_velos_0820.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	epoxomicin
PTA46_EPO_Tris	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	epoxomicin	tissue	study sample	pooled	1	run 3	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=electron transfer dissociation;AC=MS:1000598	35% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	3	2012-09-28_velos_0885.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	epoxomicin
PTA46_DMSO_Tris	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	untreated	tissue	study sample	pooled	1	run 4	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=electron transfer dissociation;AC=MS:1000598	35% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	4	2012-09-28_velos_0887.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
PTA57_D2	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	untreated	tissue	study sample	pooled	1	run 5	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;TA=K;MT=Fixed	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	5	2013-01-08_velos_2108.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
PTA57_C13D2	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	untreated	tissue	study sample	pooled	1	run 6	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	6	2013-01-08_velos_2109.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
PTA57_D2old	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	untreated	tissue	study sample	pooled	1	run 7	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;TA=K;MT=Fixed	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	7	2013-01-08_velos_2110.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
PTA57_C13D2old	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	untreated	tissue	study sample	pooled	1	run 8	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	8	2013-01-08_velos_2111.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
PTA55_RL_MG132_Tx	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	red light + MG132 50 uM	tissue	study sample	pooled	1	run 9	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	9	2013-02-15_velos_2511.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	red light + MG132 50 uM
PTA55_RL_MG132_Tris	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	red light + MG132 50 uM	tissue	study sample	pooled	1	run 10	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	10	2013-02-15_velos_2513.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	red light + MG132 50 uM
