source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[strain or breed]	characteristics[growth state]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[TurboID PTS signal]	comment[fraction identifier]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[proteomics data acquisition method]	comment[fixed modifications]	comment[variable modifications]	comment[technical replicate]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
Sample 1	Histoplasma ohiense	not available	not available	Yeast	Wild type	Media	1	Assay 1	proteomic profiling by mass spectrometry	011425_71440_OSU643_1_4uL.raw	None	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 2	Histoplasma ohiense	not available	not available	Yeast	Wild type	Media	2	Assay 1	proteomic profiling by mass spectrometry	011425_71440_OSU643_2_4uL.raw	None	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 3	Histoplasma ohiense	not available	not available	Yeast	Wild type	Media	3	Assay 1	proteomic profiling by mass spectrometry	011425_71440_OSU643_3_4uL.raw	None	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 4	Histoplasma ohiense	not available	not available	Yeast	Wild type	Media	4	Assay 1	proteomic profiling by mass spectrometry	011425_71440_OSU643_4_4uL.raw	None	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 5	Histoplasma ohiense	not available	not available	Yeast	Wild type	Media	1	Assay 1	proteomic profiling by mass spectrometry	011425_71440_OSU642_1_4uL.raw	PTS1	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 6	Histoplasma ohiense	not available	not available	Yeast	Wild type	Media	2	Assay 1	proteomic profiling by mass spectrometry	011425_71440_OSU642_2_4uL.raw	PTS1	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 7	Histoplasma ohiense	not available	not available	Yeast	Wild type	Media	3	Assay 1	proteomic profiling by mass spectrometry	011425_71440_OSU642_3_4uL.raw	PTS1	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 8	Histoplasma ohiense	not available	not available	Yeast	Wild type	Media	4	Assay 1	proteomic profiling by mass spectrometry	011425_71440_OSU642_4_4uL.raw	PTS1	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 9	Histoplasma ohiense	not available	not available	Yeast	?pex5	Media	1	Assay 2	proteomic profiling by mass spectrometry	032725_71501_OSU445-PB66-1_4uL_A.raw	None	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 10	Histoplasma ohiense	not available	not available	Yeast	?pex5	Media	2	Assay 2	proteomic profiling by mass spectrometry	032725_71501_OSU445-PB66-2_4uL_A.raw	None	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
