source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[enrichment process]	characteristics[enrichment process]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[run]
HannahAlmuttaqi_3	Mus musculus	ascitic fluid	leukemia	macrophage	cell line	RAW 264.7 cell	CVCL_0493	RAW 264.7	ascitic fluid	adult	BALB/c	male	immunoprecipitate	enrichment of phosphorylated protein	Lipopolysaccharide	1	HannahAlmuttaqi_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	not available	1	1	FL983_MSQ1448_20180913_HannahAlmuttaqi_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HannahAlmuttaqi_3
HannahAlmuttaqi_4	Mus musculus	ascitic fluid	leukemia	macrophage	cell line	RAW 264.7 cell	CVCL_0493	RAW 264.7	ascitic fluid	adult	BALB/c	male	immunoprecipitate	enrichment of phosphorylated protein	Lipopolysaccharide	1	HannahAlmuttaqi_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	not available	1	1	FL983_MSQ1448_20180913_HannahAlmuttaqi_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HannahAlmuttaqi_4
