source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[strain or breed]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[compound]	factor value[treatment]
Apo_oxaziridine (0 eq)_R1_126	Cereibacter sphaeroides	not applicable	normal	not applicable	organism part	not available	1	2022-2601-R1-TMT-PcuAcOXA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT126;AC=PRIDE:0000516	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	33 NCE	1	1	2022-2601-R1-TMT-PcuAcOXA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Apo	oxaziridine (0 eq)
Apo_oxaziridine (0.1 eq)_R1_127	Cereibacter sphaeroides	not applicable	normal	not applicable	organism part	not available	1	2022-2601-R1-TMT-PcuAcOXA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT127N;AC=PRIDE:0000519	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	33 NCE	1	1	2022-2601-R1-TMT-PcuAcOXA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Apo	oxaziridine (0.1 eq)
Apo_oxaziridine (0.5 eq)_R1_128	Cereibacter sphaeroides	not applicable	normal	not applicable	organism part	not available	1	2022-2601-R1-TMT-PcuAcOXA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT128N;AC=PRIDE:0000522	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	33 NCE	1	1	2022-2601-R1-TMT-PcuAcOXA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Apo	oxaziridine (0.5 eq)
Apo_oxaziridine (1eq)_R1_129	Cereibacter sphaeroides	not applicable	normal	not applicable	organism part	not available	1	2022-2601-R1-TMT-PcuAcOXA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT129N;AC=PRIDE:0000524	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	33 NCE	1	1	2022-2601-R1-TMT-PcuAcOXA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Apo	oxaziridine (1eq)
Apo_oxaziridine (5eq)_R1_130	Cereibacter sphaeroides	not applicable	normal	not applicable	organism part	not available	1	2022-2601-R1-TMT-PcuAcOXA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT130N;AC=PRIDE:0000526	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	33 NCE	1	1	2022-2601-R1-TMT-PcuAcOXA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Apo	oxaziridine (5eq)
Apo_oxaziridine (10 eq)_R1_131	Cereibacter sphaeroides	not applicable	normal	not applicable	organism part	not available	1	2022-2601-R1-TMT-PcuAcOXA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT131;AC=PRIDE:0000527	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	33 NCE	1	1	2022-2601-R1-TMT-PcuAcOXA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Apo	oxaziridine (10 eq)
Apo_oxaziridine (0 eq)_R2_129	Cereibacter sphaeroides	not applicable	normal	not applicable	organism part	not available	2	2022-0302-R2-TMT-PcuAcOXA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT129N;AC=PRIDE:0000524	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	33 NCE	1	1	2022-0302-R2-TMT-PcuAcOXA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Apo	oxaziridine (0 eq)
Apo_oxaziridine (0.1 eq)_R2_130	Cereibacter sphaeroides	not applicable	normal	not applicable	organism part	not available	2	2022-0302-R2-TMT-PcuAcOXA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT130N;AC=PRIDE:0000526	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	33 NCE	1	1	2022-0302-R2-TMT-PcuAcOXA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Apo	oxaziridine (0.1 eq)
Apo_oxaziridine (0.5 eq)_R2_127	Cereibacter sphaeroides	not applicable	normal	not applicable	organism part	not available	2	2022-0302-R2-TMT-PcuAcOXA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT127N;AC=PRIDE:0000519	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	33 NCE	1	1	2022-0302-R2-TMT-PcuAcOXA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Apo	oxaziridine (0.5 eq)
Apo_oxaziridine (1eq)_R2_131	Cereibacter sphaeroides	not applicable	normal	not applicable	organism part	not available	2	2022-0302-R2-TMT-PcuAcOXA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT131;AC=PRIDE:0000527	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	33 NCE	1	1	2022-0302-R2-TMT-PcuAcOXA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Apo	oxaziridine (1eq)
