source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
NW_N1	Homo sapiens	kidney	epithelial cell	normal	HEK293	CVCL_0045	HEK293	cell	not available	female	not available	not available	untreated	1	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Crotonyl;AC=UNIMOD:1363;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	0.02 Da	1	1	NW_N1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	untreated
NW_E1	Homo sapiens	kidney	epithelial cell	normal	HEK293	CVCL_0045	HEK293	cell	not available	female	not available	not available	crotonic acid + TSA + nicotinamide	1	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Crotonyl;AC=UNIMOD:1363;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	0.02 Da	1	1	NW_E1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	crotonic acid + TSA + nicotinamide
NW_NT	Homo sapiens	kidney	epithelial cell	normal	HEK293	CVCL_0045	HEK293	cell	not available	female	not available	not available	untreated	1	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Crotonyl;AC=UNIMOD:1363;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	0.02 Da	1	1	NW_NT.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	untreated
NW_ET	Homo sapiens	kidney	epithelial cell	normal	HEK293	CVCL_0045	HEK293	cell	not available	female	not available	not available	crotonic acid + TSA + nicotinamide	1	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Crotonyl;AC=UNIMOD:1363;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	20 ppm	0.02 Da	1	1	NW_ET.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	crotonic acid + TSA + nicotinamide
