source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Xu_20210512_IRIstudy_Concentration_TMT_Plate1_A	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_A	Human feces metagenome	not available	not applicable	not available	Microbiota_biobanking_using_ice_recrystalization_inhibitor	not available	not available	not available	not available	not available	not available	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Xu_20210512_IRIstudy_Concentration_TMT_Plate1_B	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_B	Human feces metagenome	not available	not applicable	not available	Microbiota_biobanking_using_ice_recrystalization_inhibitor	not available	not available	not available	not available	not available	not available	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Xu_20210512_IRIstudy_Concentration_TMT_Plate1_C	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_C	Human feces metagenome	not available	not applicable	not available	Microbiota_biobanking_using_ice_recrystalization_inhibitor	not available	not available	not available	not available	not available	not available	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Xu_20210512_IRIstudy_Concentration_TMT_Plate1_D	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_D	Human feces metagenome	not available	not applicable	not available	Microbiota_biobanking_using_ice_recrystalization_inhibitor	not available	not available	not available	not available	not available	not available	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Xu_20210512_IRIstudy_Concentration_TMT_Plate1_E	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_E	Human feces metagenome	not available	not applicable	not available	Microbiota_biobanking_using_ice_recrystalization_inhibitor	not available	not available	not available	not available	not available	not available	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_E	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_E.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Xu_20210512_IRIstudy_Concentration_TMT_Plate1_F	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_F	Human feces metagenome	not available	not applicable	not available	Microbiota_biobanking_using_ice_recrystalization_inhibitor	not available	not available	not available	not available	not available	not available	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_F	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_F.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Xu_20210512_IRIstudy_Concentration_TMT_Plate1_G	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_G	Human feces metagenome	not available	not applicable	not available	Microbiota_biobanking_using_ice_recrystalization_inhibitor	not available	not available	not available	not available	not available	not available	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Xu_20210512_IRIstudy_Concentration_TMT_Plate1_H	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_H	Human feces metagenome	not available	not applicable	not available	Microbiota_biobanking_using_ice_recrystalization_inhibitor	not available	not available	not available	not available	not available	not available	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_H	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate1_H.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Xu_20210512_IRIstudy_Concentration_TMT_Plate2_A	Xu_20210512_IRIstudy_Concentration_TMT_Plate2_A	Human feces metagenome	not available	not applicable	not available	Microbiota_biobanking_using_ice_recrystalization_inhibitor	not available	not available	not available	not available	not available	not available	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate2_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate2_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Xu_20210512_IRIstudy_Concentration_TMT_Plate2_B	Xu_20210512_IRIstudy_Concentration_TMT_Plate2_B	Human feces metagenome	not available	not applicable	not available	Microbiota_biobanking_using_ice_recrystalization_inhibitor	not available	not available	not available	not available	not available	not available	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate2_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Xu_20210512_IRIstudy_Concentration_TMT_Plate2_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
