source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20200127_AAI_2h_5-35_1uL_At_Col0_LFQ_4	Arabidopsis thaliana	Rosette	1	20200127_AAI_2h_5-35_1uL_At_Col0_LFQ_4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	1	1	20200127_AAI_2h_5-35_1uL_At_Col0_LFQ_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Rosette
20200229_AAI_2h_5-40_At_top1top2_4_2uL	Arabidopsis thaliana	Rosette	1	20200229_AAI_2h_5-40_At_top1top2_4_2uL	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	1	1	20200229_AAI_2h_5-40_At_top1top2_4_2uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Rosette
20200229_AAI_2h_5-40_At_Col0_2_2uL	Arabidopsis thaliana	Rosette	1	20200229_AAI_2h_5-40_At_Col0_2_2uL	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	1	1	20200229_AAI_2h_5-40_At_Col0_2_2uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Rosette
20200229_AAI_2h_5-40_At_top1top2_3_2uL	Arabidopsis thaliana	Rosette	1	20200229_AAI_2h_5-40_At_top1top2_3_2uL	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	1	1	20200229_AAI_2h_5-40_At_top1top2_3_2uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Rosette
20200127_AAI_2h_5-35_1uL_At_Col0_LFQ_1	Arabidopsis thaliana	Rosette	1	20200127_AAI_2h_5-35_1uL_At_Col0_LFQ_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	1	1	20200127_AAI_2h_5-35_1uL_At_Col0_LFQ_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Rosette
20200127_AAI_2h_5-35_1uL_At_Col0_LFQ_5	Arabidopsis thaliana	Rosette	1	20200127_AAI_2h_5-35_1uL_At_Col0_LFQ_5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	1	1	20200127_AAI_2h_5-35_1uL_At_Col0_LFQ_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Rosette
20200127_AAI_2h_5-35_1uL_At_Col0_LFQ_2	Arabidopsis thaliana	Rosette	1	20200127_AAI_2h_5-35_1uL_At_Col0_LFQ_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	1	1	20200127_AAI_2h_5-35_1uL_At_Col0_LFQ_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Rosette
20200127_AAI_2h_5-35_1uL_At_Col0_LFQ_6	Arabidopsis thaliana	Rosette	1	20200127_AAI_2h_5-35_1uL_At_Col0_LFQ_6	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	1	1	20200127_AAI_2h_5-35_1uL_At_Col0_LFQ_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Rosette
20200229_AAI_2h_5-40_At_Col0_4_2uL	Arabidopsis thaliana	Rosette	1	20200229_AAI_2h_5-40_At_Col0_4_2uL	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	1	1	20200229_AAI_2h_5-40_At_Col0_4_2uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Rosette
20200229_AAI_2h_5-40_At_top1top2_2_2uL	Arabidopsis thaliana	Rosette	1	20200229_AAI_2h_5-40_At_top1top2_2_2uL	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	1	1	20200229_AAI_2h_5-40_At_top1top2_2_2uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Rosette
