source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[strain/breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
Sample 1	Fusarium oxysporum	culture supernatant	not applicable	not applicable	1	BPOP18	run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed	1	1	E27089b_2p_50uPAC12_trap13_PRC-5495.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
Sample 2	Fusarium oxysporum	culture supernatant	not applicable	not applicable	1	IA2	run 2	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed	1	1	E28442_2p_50uPAC14_trap16_PRC-5649_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
Sample 3	Aspergillus fumigatus	culture supernatant	not applicable	not applicable	1	MM36	run 3	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed	1	1	E28436_2p_50uPAC14_trap16_PRC-5649_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
Sample 4	Aspergillus fumigatus	culture supernatant	not applicable	not applicable	1	MM36	run 4	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed	1	1	E28438_2p_50uPAC14_trap16_PRC-5649_2_20220303212039.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
