source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20140509_QEx3_RSLC4_Bruno_Slade_MPFL_set20_insol_try_pool_5proc_LG_sample1_onBeadMeth	Homo sapiens	Cell culture	not available	not available	not available	1	20140509_QEx3_RSLC4_Bruno_Slade_MPFL_set20_insol_try_pool_5proc_LG_sample1_onBeadMeth	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20140509_QEx3_RSLC4_Bruno_Slade_MPFL_set20_insol_try_pool_5proc_LG_sample1_onBeadMeth.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20140618_QEx2_RSLC8_Bruno_Slade_MPFL_onbead_try_dig_set23_pool_10perLG_control1_repeat	Homo sapiens	Cell culture	not available	not available	not available	1	20140618_QEx2_RSLC8_Bruno_Slade_MPFL_onbead_try_dig_set23_pool_10perLG_control1_repeat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20140618_QEx2_RSLC8_Bruno_Slade_MPFL_onbead_try_dig_set23_pool_10perLG_control1_repeat.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20140905_QEx5__RSLC8_Bruno_Slade_MFPL_set25_GlycineLysC_5prz_S7	Homo sapiens	Cell culture	not available	not available	not available	1	20140905_QEx5__RSLC8_Bruno_Slade_MFPL_set25_GlycineLysC_5prz_S7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20140905_QEx5__RSLC8_Bruno_Slade_MFPL_set25_GlycineLysC_5prz_S7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20140507_QEx3_RSLC4_Bruno_Slade_MPFL_set20_insol_try_pool_5proc_LG_contr1_onBeadMeth	Homo sapiens	Cell culture	not available	not available	not available	1	20140507_QEx3_RSLC4_Bruno_Slade_MPFL_set20_insol_try_pool_5proc_LG_contr1_onBeadMeth	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20140507_QEx3_RSLC4_Bruno_Slade_MPFL_set20_insol_try_pool_5proc_LG_contr1_onBeadMeth.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20140627_QEx3_RSLC4_Bruno_Slade_MPFL_set23_poolLG_10proc_sample_4	Homo sapiens	Cell culture	not available	not available	not available	1	20140627_QEx3_RSLC4_Bruno_Slade_MPFL_set23_poolLG_10proc_sample_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20140627_QEx3_RSLC4_Bruno_Slade_MPFL_set23_poolLG_10proc_sample_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20150102_QEx5__RSLC8_Bruno_Slade_MFPL_onbead_try_dig_poolLysCgly_5per_sample1	Homo sapiens	Cell culture	not available	not available	not available	1	20150102_QEx5__RSLC8_Bruno_Slade_MFPL_onbead_try_dig_poolLysCgly_5per_sample1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20150102_QEx5__RSLC8_Bruno_Slade_MFPL_onbead_try_dig_poolLysCgly_5per_sample1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20140509_QEx3_RSLC4_Bruno_Slade_MPFL_set20_insol_try_pool_5proc_LG_sample1_HeLaMeth	Homo sapiens	Cell culture	not available	not available	not available	1	20140509_QEx3_RSLC4_Bruno_Slade_MPFL_set20_insol_try_pool_5proc_LG_sample1_HeLaMeth	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20140509_QEx3_RSLC4_Bruno_Slade_MPFL_set20_insol_try_pool_5proc_LG_sample1_HeLaMeth.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20150102_QEx5__RSLC8_Bruno_Slade_MFPL_onbead_try_dig_poolLysCgly_5per_control1	Homo sapiens	Cell culture	not available	not available	not available	1	20150102_QEx5__RSLC8_Bruno_Slade_MFPL_onbead_try_dig_poolLysCgly_5per_control1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20150102_QEx5__RSLC8_Bruno_Slade_MFPL_onbead_try_dig_poolLysCgly_5per_control1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20140627_QEx3_RSLC4_Bruno_Slade_MPFL_set23_poolLG_10proc_control_1	Homo sapiens	Cell culture	not available	not available	not available	1	20140627_QEx3_RSLC4_Bruno_Slade_MPFL_set23_poolLG_10proc_control_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20140627_QEx3_RSLC4_Bruno_Slade_MPFL_set23_poolLG_10proc_control_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20140617_QEx2_RSLC8_Bruno_Slade_MPFL_onbead_try_dig_set23_pool_5perLG_control1	Homo sapiens	Cell culture	not available	not available	not available	1	20140617_QEx2_RSLC8_Bruno_Slade_MPFL_onbead_try_dig_set23_pool_5perLG_control1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20140617_QEx2_RSLC8_Bruno_Slade_MPFL_onbead_try_dig_set23_pool_5perLG_control1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20140507_QEx3_RSLC4_Bruno_Slade_MPFL_set20_insol_try_pool_5proc_LG_contr1_HeLaMeth	Homo sapiens	Cell culture	not available	not available	not available	1	20140507_QEx3_RSLC4_Bruno_Slade_MPFL_set20_insol_try_pool_5proc_LG_contr1_HeLaMeth	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20140507_QEx3_RSLC4_Bruno_Slade_MPFL_set20_insol_try_pool_5proc_LG_contr1_HeLaMeth.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20140618_QEx2_RSLC8_Bruno_Slade_MPFL_onbead_try_dig_set23_pool_10perLG_sample4	Homo sapiens	Cell culture	not available	not available	not available	1	20140618_QEx2_RSLC8_Bruno_Slade_MPFL_onbead_try_dig_set23_pool_10perLG_sample4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20140618_QEx2_RSLC8_Bruno_Slade_MPFL_onbead_try_dig_set23_pool_10perLG_sample4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20140902_QEx5__RSLC8_Bruno_Slade_MFPL_set25_GlycineLysC_5prz_C1	Homo sapiens	Cell culture	not available	not available	not available	1	20140902_QEx5__RSLC8_Bruno_Slade_MFPL_set25_GlycineLysC_5prz_C1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20140902_QEx5__RSLC8_Bruno_Slade_MFPL_set25_GlycineLysC_5prz_C1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
