source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[environmental medium]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[disease]	characteristics[cell type]	characteristics[host age]	characteristics[host sex]	characteristics[host body-mass index]	characteristics[biological replicate]	assay name	technology type	comment[proteomexchange accession number]	comment[proteomics data acquisition method]	comment[metagenome accession]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[biological replicate]
Sample 1	Sample_1	human gut metagenome	feces	feces	Homo sapiens	not available	normal	normal	not available	not available	not available	not available	1	S6	proteomic profiling by mass spectrometry	PXD005780	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB19090	S6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005780/S6.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=HCD;AC=MS:1000422	0.02 Da	10 ppm	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
Sample 2	Sample_2	human gut metagenome	feces	feces	Homo sapiens	not available	normal	normal	not available	not available	not available	not available	1	S7	proteomic profiling by mass spectrometry	PXD005780	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB19090	S7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005780/S7.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=HCD;AC=MS:1000422	0.02 Da	10 ppm	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
Sample 3	Sample_3	human gut metagenome	feces	feces	Homo sapiens	not available	normal	normal	not available	not available	not available	not available	1	S13	proteomic profiling by mass spectrometry	PXD005780	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB19090	S13.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005780/S13.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=HCD;AC=MS:1000422	0.02 Da	10 ppm	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
Sample 4	Sample_4	human gut metagenome	feces	feces	Homo sapiens	not available	normal	normal	not available	not available	not available	not available	1	S20	proteomic profiling by mass spectrometry	PXD005780	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB19090	S20.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005780/S20.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=HCD;AC=MS:1000422	0.02 Da	10 ppm	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
Sample 5	Sample_5	human gut metagenome	feces	feces	Homo sapiens	not available	normal	normal	not available	not available	not available	not available	1	S23	proteomic profiling by mass spectrometry	PXD005780	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB19090	S23.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005780/S23.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=HCD;AC=MS:1000422	0.02 Da	10 ppm	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
Sample 6	Sample_6	human gut metagenome	feces	feces	Homo sapiens	not available	normal	normal	not available	not available	not available	not available	1	S25	proteomic profiling by mass spectrometry	PXD005780	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB19090	S25.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005780/S25.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=HCD;AC=MS:1000422	0.02 Da	10 ppm	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
Sample 7	Sample_7	human gut metagenome	feces	feces	Homo sapiens	not available	normal	normal	not available	not available	not available	not available	1	S27	proteomic profiling by mass spectrometry	PXD005780	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB19090	S27.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005780/S27.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=HCD;AC=MS:1000422	0.02 Da	10 ppm	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
Sample 8	Sample_8	human gut metagenome	feces	feces	Homo sapiens	not available	normal	normal	not available	not available	not available	not available	1	S28	proteomic profiling by mass spectrometry	PXD005780	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB19090	S28.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005780/S28.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=HCD;AC=MS:1000422	0.02 Da	10 ppm	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
Sample 9	Sample_9	human gut metagenome	feces	feces	Homo sapiens	not available	normal	normal	not available	not available	not available	not available	1	S34	proteomic profiling by mass spectrometry	PXD005780	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB19090	S34.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005780/S34.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=HCD;AC=MS:1000422	0.02 Da	10 ppm	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
Sample 10	Sample_10	human gut metagenome	feces	feces	Homo sapiens	not available	normal	normal	not available	not available	not available	not available	1	S36	proteomic profiling by mass spectrometry	PXD005780	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB19090	S36.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005780/S36.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=HCD;AC=MS:1000422	0.02 Da	10 ppm	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
