source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[environmental medium]	characteristics[biological replicate]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[enrichment process]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[enrichment process]
Xu_20190729_FecalMicrobiome_V47_Kac	Xu_20190729_FecalMicrobiome_V47_Kac	human gut metagenome	Feces	feces	1	Homo sapiens	V47	healthy	enrichment of acetylated protein	Xu_20190729_FecalMicrobiome_V47_Kac	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	10 ppm	20 ppm	1	1	Xu_20190729_FecalMicrobiome_V47_Kac.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	enrichment of acetylated protein
Xu_20190729_FecalMicrobiome_V45_Kac	Xu_20190729_FecalMicrobiome_V45_Kac	human gut metagenome	Feces	feces	1	Homo sapiens	V45	healthy	enrichment of acetylated protein	Xu_20190729_FecalMicrobiome_V45_Kac	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	10 ppm	20 ppm	1	1	Xu_20190729_FecalMicrobiome_V45_Kac.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	enrichment of acetylated protein
Xu_20190729_FecalMicrobiome_V42_Kac	Xu_20190729_FecalMicrobiome_V42_Kac	human gut metagenome	Feces	feces	1	Homo sapiens	V42	healthy	enrichment of acetylated protein	Xu_20190729_FecalMicrobiome_V42_Kac	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	10 ppm	20 ppm	1	1	Xu_20190729_FecalMicrobiome_V42_Kac.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	enrichment of acetylated protein
Xu_20190729_FecalMicrobiome_V46_total_lysate	Xu_20190729_FecalMicrobiome_V46_total_lysate	human gut metagenome	Feces	feces	1	Homo sapiens	V46	healthy	not applicable	Xu_20190729_FecalMicrobiome_V46_total_lysate	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	10 ppm	20 ppm	1	1	Xu_20190729_FecalMicrobiome_V46_total_lysate.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	not applicable
Xu_20190729_FecalMicrobiome_V47_total_lysate	Xu_20190729_FecalMicrobiome_V47_total_lysate	human gut metagenome	Feces	feces	1	Homo sapiens	V47	healthy	not applicable	Xu_20190729_FecalMicrobiome_V47_total_lysate	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	10 ppm	20 ppm	1	1	Xu_20190729_FecalMicrobiome_V47_total_lysate.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	not applicable
Xu_20190729_FecalMicrobiome_V45_total_lysate	Xu_20190729_FecalMicrobiome_V45_total_lysate	human gut metagenome	Feces	feces	1	Homo sapiens	V45	healthy	not applicable	Xu_20190729_FecalMicrobiome_V45_total_lysate	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	10 ppm	20 ppm	1	1	Xu_20190729_FecalMicrobiome_V45_total_lysate.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	not applicable
Xu_20190521_FecalMicrobiome_PTMenrichment_Kac_V44	Xu_20190521_FecalMicrobiome_PTMenrichment_Kac_V44	human gut metagenome	Feces	feces	1	Homo sapiens	V44	healthy	enrichment of acetylated protein	Xu_20190521_FecalMicrobiome_PTMenrichment_Kac_V44	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	10 ppm	20 ppm	1	1	Xu_20190521_FecalMicrobiome_PTMenrichment_Kac_V44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	enrichment of acetylated protein
Xu_20190813_FecalMicrobiome_V46_Kac_12ulOfRemaining	Xu_20190813_FecalMicrobiome_V46_Kac_12ulOfRemaining	human gut metagenome	Feces	feces	1	Homo sapiens	V46	healthy	enrichment of acetylated protein	Xu_20190813_FecalMicrobiome_V46_Kac_12ulOfRemaining	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	10 ppm	20 ppm	1	1	Xu_20190813_FecalMicrobiome_V46_Kac_12ulOfRemaining.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	enrichment of acetylated protein
Xu_20190515_fecal_microbiome_V43_total_lysate_200ng_2hr	Xu_20190515_fecal_microbiome_V43_total_lysate_200ng_2hr	human gut metagenome	Feces	feces	1	Homo sapiens	V43	healthy	not applicable	Xu_20190515_fecal_microbiome_V43_total_lysate_200ng_2hr	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	10 ppm	20 ppm	1	1	Xu_20190515_fecal_microbiome_V43_total_lysate_200ng_2hr.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	not applicable
Xu_20190729_FecalMicrobiome_V42_total_lysate	Xu_20190729_FecalMicrobiome_V42_total_lysate	human gut metagenome	Feces	feces	1	Homo sapiens	V42	healthy	not applicable	Xu_20190729_FecalMicrobiome_V42_total_lysate	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	10 ppm	20 ppm	1	1	Xu_20190729_FecalMicrobiome_V42_total_lysate.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	not applicable
