source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
F475978.dat	F475978.dat	Populus nigra x populus x canadensis	soil	not applicable	not available	Poplar_leaf_tandem_mass_spectrometry_analyses_in_response_to_a_contamination_gradient_of_phenanthrene	soil	soil	not available	not available	not available	not available	soil microbiome	1	F475978.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	1	1	F475978.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
F475980.dat	F475980.dat	Populus nigra x populus x canadensis	soil	not applicable	not available	Poplar_leaf_tandem_mass_spectrometry_analyses_in_response_to_a_contamination_gradient_of_phenanthrene	soil	soil	not available	not available	not available	not available	soil microbiome	1	F475980.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	1	1	F475980.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
F475981.dat	F475981.dat	Populus nigra x populus x canadensis	soil	not applicable	not available	Poplar_leaf_tandem_mass_spectrometry_analyses_in_response_to_a_contamination_gradient_of_phenanthrene	soil	soil	not available	not available	not available	not available	soil microbiome	1	F475981.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	1	1	F475981.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
F475982.dat	F475982.dat	Populus nigra x populus x canadensis	soil	not applicable	not available	Poplar_leaf_tandem_mass_spectrometry_analyses_in_response_to_a_contamination_gradient_of_phenanthrene	soil	soil	not available	not available	not available	not available	soil microbiome	1	F475982.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	1	1	F475982.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
F475984.dat	F475984.dat	Populus nigra x populus x canadensis	soil	not applicable	not available	Poplar_leaf_tandem_mass_spectrometry_analyses_in_response_to_a_contamination_gradient_of_phenanthrene	soil	soil	not available	not available	not available	not available	soil microbiome	1	F475984.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	1	1	F475984.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
F475985.dat	F475985.dat	Populus nigra x populus x canadensis	soil	not applicable	not available	Poplar_leaf_tandem_mass_spectrometry_analyses_in_response_to_a_contamination_gradient_of_phenanthrene	soil	soil	not available	not available	not available	not available	soil microbiome	1	F475985.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	1	1	F475985.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
F475986.dat	F475986.dat	Populus nigra x populus x canadensis	soil	not applicable	not available	Poplar_leaf_tandem_mass_spectrometry_analyses_in_response_to_a_contamination_gradient_of_phenanthrene	soil	soil	not available	not available	not available	not available	soil microbiome	1	F475986.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	1	1	F475986.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
F475988.dat	F475988.dat	Populus nigra x populus x canadensis	soil	not applicable	not available	Poplar_leaf_tandem_mass_spectrometry_analyses_in_response_to_a_contamination_gradient_of_phenanthrene	soil	soil	not available	not available	not available	not available	soil microbiome	1	F475988.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	1	1	F475988.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
F475989.dat	F475989.dat	Populus nigra x populus x canadensis	soil	not applicable	not available	Poplar_leaf_tandem_mass_spectrometry_analyses_in_response_to_a_contamination_gradient_of_phenanthrene	soil	soil	not available	not available	not available	not available	soil microbiome	1	F475989.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	1	1	F475989.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
F475991.dat	F475991.dat	Populus nigra x populus x canadensis	soil	not applicable	not available	Poplar_leaf_tandem_mass_spectrometry_analyses_in_response_to_a_contamination_gradient_of_phenanthrene	soil	soil	not available	not available	not available	not available	soil microbiome	1	F475991.dat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	1	1	F475991.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
