source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]
A549 sample 1	Homo sapiens	lung	lung adenocarcinoma	epithelial cell of lung	1	cell line	A549	CVCL_0023	A549	not available	not available	run 1	proteomic profiling by mass spectrometry	1	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	WJY_A549_global.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	lung adenocarcinoma
A549 sample 1	Homo sapiens	lung	lung adenocarcinoma	epithelial cell of lung	1	cell line	A549	CVCL_0023	A549	not available	not available	run 2	proteomic profiling by mass spectrometry	1	2	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	WJY_A549_global_20181031140724.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	lung adenocarcinoma
A549 sample 1	Homo sapiens	lung	lung adenocarcinoma	epithelial cell of lung	1	cell line	A549	CVCL_0023	A549	not available	not available	run 3	proteomic profiling by mass spectrometry	1	3	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	WJY_A549_global_20181031164047.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	lung adenocarcinoma
H1975 sample 1	Homo sapiens	lung	lung adenocarcinoma	epithelial cell of lung	1	cell line	NCI-H1975	CVCL_1119	NCI-H1975	not available	not available	run 4	proteomic profiling by mass spectrometry	1	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	WJY_H1975_global.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	lung adenocarcinoma
H1975 sample 1	Homo sapiens	lung	lung adenocarcinoma	epithelial cell of lung	1	cell line	NCI-H1975	CVCL_1119	NCI-H1975	not available	not available	run 5	proteomic profiling by mass spectrometry	1	2	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	WJY_H1975_global_20181031222657.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	lung adenocarcinoma
H1975 sample 1	Homo sapiens	lung	lung adenocarcinoma	epithelial cell of lung	1	cell line	NCI-H1975	CVCL_1119	NCI-H1975	not available	not available	run 6	proteomic profiling by mass spectrometry	1	3	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	WJY_H1975_global_20181101005849.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	lung adenocarcinoma
H446 sample 1	Homo sapiens	lung	small cell lung carcinoma	epithelial cell of lung	1	cell line	NCI-H446	CVCL_1562	NCI-H446	not available	not available	run 7	proteomic profiling by mass spectrometry	1	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	WJY_H446_global.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	small cell lung carcinoma
H446 sample 1	Homo sapiens	lung	small cell lung carcinoma	epithelial cell of lung	1	cell line	NCI-H446	CVCL_1562	NCI-H446	not available	not available	run 8	proteomic profiling by mass spectrometry	1	2	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	WJY_H446_global_20181101063811.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	small cell lung carcinoma
H446 sample 1	Homo sapiens	lung	small cell lung carcinoma	epithelial cell of lung	1	cell line	NCI-H446	CVCL_1562	NCI-H446	not available	not available	run 9	proteomic profiling by mass spectrometry	1	3	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	WJY_H446_global_20181101092113.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	small cell lung carcinoma
H69 sample 1	Homo sapiens	lung	small cell lung carcinoma	epithelial cell of lung	1	cell line	NCI-H69	CVCL_1514	NCI-H69	not available	not available	run 10	proteomic profiling by mass spectrometry	1	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	WJY_h69_global.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	small cell lung carcinoma
H69 sample 1	Homo sapiens	lung	small cell lung carcinoma	epithelial cell of lung	1	cell line	NCI-H69	CVCL_1514	NCI-H69	not available	not available	run 11	proteomic profiling by mass spectrometry	1	2	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	WJY_h69_global_20181031031519.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	small cell lung carcinoma
H69 sample 1	Homo sapiens	lung	small cell lung carcinoma	epithelial cell of lung	1	cell line	NCI-H69	CVCL_1514	NCI-H69	not available	not available	run 12	proteomic profiling by mass spectrometry	1	3	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	WJY_h69_global_20181031054803.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	small cell lung carcinoma
