source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[treatment]	characteristics[passage number]	characteristics[culture medium]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
HCT116_TCO_4hrs_1	Homo sapiens	colon	colon carcinoma	epithelial cell	cell	HCT116	CVCL_0291	HCT 116	colon	adult	48Y	male	not available	268-TCO probe; DMSO competitor vehicle	not available	Dulbecco's modified Eagle medium	1	2-112_Co-CP_EphA2_HCT-116_TCO_neg-4hrs_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	10 ppm	1	1	2-112_Co-CP_EphA2_HCT-116_TCO_neg-4hrs_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	268-TCO probe; DMSO competitor vehicle
HCT116_TCO_4hrs_2	Homo sapiens	colon	colon carcinoma	epithelial cell	cell	HCT116	CVCL_0291	HCT 116	colon	adult	48Y	male	not available	268-TCO probe; DMSO competitor vehicle	not available	Dulbecco's modified Eagle medium	2	2-112_Co-CP_EphA2_HCT-116_TCO_neg-4hrs_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	10 ppm	1	1	2-112_Co-CP_EphA2_HCT-116_TCO_neg-4hrs_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	268-TCO probe; DMSO competitor vehicle
HCT116_TCO_4hrs_3	Homo sapiens	colon	colon carcinoma	epithelial cell	cell	HCT116	CVCL_0291	HCT 116	colon	adult	48Y	male	not available	268-TCO probe; DMSO competitor vehicle	not available	Dulbecco's modified Eagle medium	3	2-112_Co-CP_EphA2_HCT-116_TCO_neg-4hrs_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	10 ppm	1	1	2-112_Co-CP_EphA2_HCT-116_TCO_neg-4hrs_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	268-TCO probe; DMSO competitor vehicle
HCT116_TCO_LF268_4hrs_1	Homo sapiens	colon	colon carcinoma	epithelial cell	cell	HCT116	CVCL_0291	HCT 116	colon	adult	48Y	male	not available	268-TCO probe; LF-268 competitor	not available	Dulbecco's modified Eagle medium	1	2-112_Co-CP_EphA2_HCT-116_TCO_withcompetitor-4hrs_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	10 ppm	1	1	2-112_Co-CP_EphA2_HCT-116_TCO_withcompetitor-4hrs_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	268-TCO probe; LF-268 competitor
HCT116_TCO_LF268_4hrs_2	Homo sapiens	colon	colon carcinoma	epithelial cell	cell	HCT116	CVCL_0291	HCT 116	colon	adult	48Y	male	not available	268-TCO probe; LF-268 competitor	not available	Dulbecco's modified Eagle medium	2	2-112_Co-CP_EphA2_HCT-116_TCO_withcompetitor-4hrs_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	10 ppm	1	1	2-112_Co-CP_EphA2_HCT-116_TCO_withcompetitor-4hrs_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	268-TCO probe; LF-268 competitor
HCT116_TCO_LF268_4hrs_3	Homo sapiens	colon	colon carcinoma	epithelial cell	cell	HCT116	CVCL_0291	HCT 116	colon	adult	48Y	male	not available	268-TCO probe; LF-268 competitor	not available	Dulbecco's modified Eagle medium	3	2-112_Co-CP_EphA2_HCT-116_TCO_withcompetitor-4hrs_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	10 ppm	1	1	2-112_Co-CP_EphA2_HCT-116_TCO_withcompetitor-4hrs_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	268-TCO probe; LF-268 competitor
