source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
1708_RA_WT_1	Mus musculus	not available	neuron	cell	study sample	normal	not available	not available	not available	wild type	1	1708_RA_WT_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	1	1	1708_RA_WT_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type
1708_RA_WT_2	Mus musculus	not available	neuron	cell	study sample	normal	not available	not available	not available	wild type	2	1708_RA_WT_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	1	1	1708_RA_WT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type
1708_RA_WT_3	Mus musculus	not available	neuron	cell	study sample	normal	not available	not available	not available	wild type	3	1708_RA_WT_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	1	1	1708_RA_WT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type
1708_RA_Het_1	Mus musculus	not available	neuron	cell	study sample	amyotrophic lateral sclerosis	not available	not available	not available	hTDP-43Prp heterozygous	1	1708_RA_Het_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	1	1	1708_RA_Het_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hTDP-43Prp heterozygous
1708_RA_Het_2	Mus musculus	not available	neuron	cell	study sample	amyotrophic lateral sclerosis	not available	not available	not available	hTDP-43Prp heterozygous	2	1708_RA_Het_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	1	1	1708_RA_Het_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hTDP-43Prp heterozygous
1708_RA_Het_3	Mus musculus	not available	neuron	cell	study sample	amyotrophic lateral sclerosis	not available	not available	not available	hTDP-43Prp heterozygous	3	1708_RA_Het_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	1	1	1708_RA_Het_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hTDP-43Prp heterozygous
1708_RA_Hom_1	Mus musculus	not available	neuron	cell	study sample	amyotrophic lateral sclerosis	not available	not available	not available	hTDP-43Prp homozygous	1	1708_RA_Hom_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	1	1	1708_RA_Hom_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hTDP-43Prp homozygous
1708_RA_Hom_2	Mus musculus	not available	neuron	cell	study sample	amyotrophic lateral sclerosis	not available	not available	not available	hTDP-43Prp homozygous	2	1708_RA_Hom_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	1	1	1708_RA_Hom_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hTDP-43Prp homozygous
1708_RA_Hom_3	Mus musculus	not available	neuron	cell	study sample	amyotrophic lateral sclerosis	not available	not available	not available	hTDP-43Prp homozygous	3	1708_RA_Hom_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	not available	not available	1	1	1708_RA_Hom_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hTDP-43Prp homozygous
