source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
SCX_120603_5	mus musculus	blood	not applicable	not available	enrichment of phosphorylated protein	5	SCX_120603_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	SCX_120603_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000761/SCX_120603_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
SCX_120531_6	mus musculus	blood	not applicable	not available	enrichment of phosphorylated protein	6	SCX_120531_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	SCX_120531_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000761/SCX_120531_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
SCX_120508_2	mus musculus	blood	not applicable	not available	enrichment of phosphorylated protein	2	SCX_120508_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	SCX_120508_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000761/SCX_120508_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
SCX_120601_5	mus musculus	blood	not applicable	not available	enrichment of phosphorylated protein	5	SCX_120601_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	SCX_120601_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000761/SCX_120601_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
SCX_120601_6	mus musculus	blood	not applicable	not available	enrichment of phosphorylated protein	6	SCX_120601_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	SCX_120601_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000761/SCX_120601_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
SCX_120511_3	mus musculus	blood	not applicable	not available	enrichment of phosphorylated protein	3	SCX_120511_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	SCX_120511_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000761/SCX_120511_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
SCX_120530_10	mus musculus	blood	not applicable	not available	enrichment of phosphorylated protein	10	SCX_120530_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	SCX_120530_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000761/SCX_120530_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
SCX_120601_10	mus musculus	blood	not applicable	not available	enrichment of phosphorylated protein	10	SCX_120601_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	SCX_120601_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000761/SCX_120601_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
SCX_120511_5	mus musculus	blood	not applicable	not available	enrichment of phosphorylated protein	5	SCX_120511_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	SCX_120511_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000761/SCX_120511_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
SCX_120510_4	mus musculus	blood	not applicable	not available	enrichment of phosphorylated protein	4	SCX_120510_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	SCX_120510_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000761/SCX_120510_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
