source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[biological replicate]	material type	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]
IPX0002031000-Sample 1	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp030506_1_DingC_Glioma_Tumor_HFX4_75min_15cm_30per_20181007_F2_R1.raw	Exp030506_1_DingC_Glioma_Tumor_HFX4_75min_15cm_30per_20181007_F2_R1.raw
IPX0002031000-Sample 2	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 2	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp047436_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190126_F3_R1.raw	Exp047436_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190126_F3_R1.raw
IPX0002031000-Sample 3	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 3	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp034611_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181221_F3_R1.raw	Exp034611_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181221_F3_R1.raw
IPX0002031000-Sample 4	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 4	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp031675_DingC_FFPE_Giloma_Tumor_HFX3_75min_33cm_20181028_F2_R1.raw	Exp031675_DingC_FFPE_Giloma_Tumor_HFX3_75min_33cm_20181028_F2_R1.raw
IPX0002031000-Sample 5	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 5	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp040823_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190301_F3_R1.raw	Exp040823_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190301_F3_R1.raw
IPX0002031000-Sample 6	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 6	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp032140_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181110_F3_R1.raw	Exp032140_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181110_F3_R1.raw
IPX0002031000-Sample 7	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 7	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp031517_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181106_F2_R1.raw	Exp031517_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181106_F2_R1.raw
IPX0002031000-Sample 8	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 8	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp032798_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181127_F2_R1.raw	Exp032798_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181127_F2_R1.raw
IPX0002031000-Sample 9	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 9	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp032794_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181204_F1_R1.raw	Exp032794_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181204_F1_R1.raw
IPX0002031000-Sample 10	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 10	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp031502_DingC_FFPE_Giloma_Tumor_HFX3_75min_15cm_20181026_F2_R1.raw	Exp031502_DingC_FFPE_Giloma_Tumor_HFX3_75min_15cm_20181026_F2_R1.raw
