source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[material type]	characteristics[sample type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
THP1_WT_control	Homo sapiens	blood	macrophage	childhood acute megakaryoblastic leukemia	THP-1	CVCL_0006	THP-1	cell line	study sample	1Y	male	not available	infant stage	WT; control	1	241212_DR_124_Sh_1_Slot2-36_1_20270.d	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	241212_DR_124_Sh_1_Slot2-36_1_20270.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	WT; control
THP1_WT_lipopolysaccharide	Homo sapiens	blood	macrophage	childhood acute megakaryoblastic leukemia	THP-1	CVCL_0006	THP-1	cell line	study sample	1Y	male	not available	infant stage	WT; lipopolysaccharide	1	241212_DR_124_Sh_2_Slot2-37_1_20274.d	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	241212_DR_124_Sh_2_Slot2-37_1_20274.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	WT; lipopolysaccharide
THP1_YWHAB_KO_control	Homo sapiens	blood	macrophage	childhood acute megakaryoblastic leukemia	THP-1	CVCL_0006	THP-1	cell line	study sample	1Y	male	not available	infant stage	YWHAB KO; control	1	241212_DR_124_Sh_3_Slot2-38_1_20278.d	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	241212_DR_124_Sh_3_Slot2-38_1_20278.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	YWHAB KO; control
THP1_YWHAB_KO_lipopolysaccharide	Homo sapiens	blood	macrophage	childhood acute megakaryoblastic leukemia	THP-1	CVCL_0006	THP-1	cell line	study sample	1Y	male	not available	infant stage	YWHAB KO; lipopolysaccharide	1	241212_DR_124_Sh_4_Slot2-39_1_20282.d	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	241212_DR_124_Sh_4_Slot2-39_1_20282.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	YWHAB KO; lipopolysaccharide
THP1_WT_control	Homo sapiens	blood	macrophage	childhood acute megakaryoblastic leukemia	THP-1	CVCL_0006	THP-1	cell line	study sample	1Y	male	not available	infant stage	WT; control	2	241212_DR_124_Sh_5_Slot2-40_1_20271.d	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	241212_DR_124_Sh_5_Slot2-40_1_20271.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	WT; control
THP1_WT_lipopolysaccharide	Homo sapiens	blood	macrophage	childhood acute megakaryoblastic leukemia	THP-1	CVCL_0006	THP-1	cell line	study sample	1Y	male	not available	infant stage	WT; lipopolysaccharide	2	241212_DR_124_Sh_6_Slot2-41_1_20275.d	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	241212_DR_124_Sh_6_Slot2-41_1_20275.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	WT; lipopolysaccharide
THP1_YWHAB_KO_control	Homo sapiens	blood	macrophage	childhood acute megakaryoblastic leukemia	THP-1	CVCL_0006	THP-1	cell line	study sample	1Y	male	not available	infant stage	YWHAB KO; control	2	241212_DR_124_Sh_7_Slot2-42_1_20279.d	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	241212_DR_124_Sh_7_Slot2-42_1_20279.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	YWHAB KO; control
THP1_YWHAB_KO_lipopolysaccharide	Homo sapiens	blood	macrophage	childhood acute megakaryoblastic leukemia	THP-1	CVCL_0006	THP-1	cell line	study sample	1Y	male	not available	infant stage	YWHAB KO; lipopolysaccharide	2	241212_DR_124_Sh_8_Slot2-43_1_20283.d	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	241212_DR_124_Sh_8_Slot2-43_1_20283.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	YWHAB KO; lipopolysaccharide
THP1_WT_control	Homo sapiens	blood	macrophage	childhood acute megakaryoblastic leukemia	THP-1	CVCL_0006	THP-1	cell line	study sample	1Y	male	not available	infant stage	WT; control	3	241212_DR_124_Sh_9_Slot2-44_1_20272.d	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	241212_DR_124_Sh_9_Slot2-44_1_20272.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	WT; control
THP1_WT_lipopolysaccharide	Homo sapiens	blood	macrophage	childhood acute megakaryoblastic leukemia	THP-1	CVCL_0006	THP-1	cell line	study sample	1Y	male	not available	infant stage	WT; lipopolysaccharide	3	241212_DR_124_Sh_10_Slot2-45_1_20276.d	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	241212_DR_124_Sh_10_Slot2-45_1_20276.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	WT; lipopolysaccharide
