source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20221012_SaSr_0213_N9sIrXhn6fFb_Phb2-FLAG_FLAG-peptide_004	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221012_SaSr_0213_N9sIrXhn6fFb_Phb2-FLAG_FLAG-peptide_004	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221012_SaSr_0213_N9sIrXhn6fFb_Phb2-FLAG_FLAG-peptide_004.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20221012_SaSr_0213_N9sIrXhn6fFb_Phb2-FLAG_FLAG-peptide_005	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221012_SaSr_0213_N9sIrXhn6fFb_Phb2-FLAG_FLAG-peptide_005	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221012_SaSr_0213_N9sIrXhn6fFb_Phb2-FLAG_FLAG-peptide_005.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20221012_SaSr_0213_N9sIrXhn6fFb_Phb2-FLAG_FLAG-peptide_006	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221012_SaSr_0213_N9sIrXhn6fFb_Phb2-FLAG_FLAG-peptide_006	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221012_SaSr_0213_N9sIrXhn6fFb_Phb2-FLAG_FLAG-peptide_006.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20221012_SaSr_0213_N9sIrXhn6fFb_Phb2-FLAG_LDS_010	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221012_SaSr_0213_N9sIrXhn6fFb_Phb2-FLAG_LDS_010	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221012_SaSr_0213_N9sIrXhn6fFb_Phb2-FLAG_LDS_010.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20221012_SaSr_0213_N9sIrXhn6fFb_Phb2-FLAG_LDS_011	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221012_SaSr_0213_N9sIrXhn6fFb_Phb2-FLAG_LDS_011	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221012_SaSr_0213_N9sIrXhn6fFb_Phb2-FLAG_LDS_011.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20221012_SaSr_0213_N9sIrXhn6fFb_Phb2-FLAG_LDS_012	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221012_SaSr_0213_N9sIrXhn6fFb_Phb2-FLAG_LDS_012	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221012_SaSr_0213_N9sIrXhn6fFb_Phb2-FLAG_LDS_012.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20221012_SaSr_0213_N9sIrXhn6fFb_WT_FLAG-peptide_001	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221012_SaSr_0213_N9sIrXhn6fFb_WT_FLAG-peptide_001	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221012_SaSr_0213_N9sIrXhn6fFb_WT_FLAG-peptide_001.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20221012_SaSr_0213_N9sIrXhn6fFb_WT_FLAG-peptide_002	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221012_SaSr_0213_N9sIrXhn6fFb_WT_FLAG-peptide_002	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221012_SaSr_0213_N9sIrXhn6fFb_WT_FLAG-peptide_002.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20221012_SaSr_0213_N9sIrXhn6fFb_WT_FLAG-peptide_003	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221012_SaSr_0213_N9sIrXhn6fFb_WT_FLAG-peptide_003	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221012_SaSr_0213_N9sIrXhn6fFb_WT_FLAG-peptide_003.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20221012_SaSr_0213_N9sIrXhn6fFb_WT_LDS_007	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221012_SaSr_0213_N9sIrXhn6fFb_WT_LDS_007	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221012_SaSr_0213_N9sIrXhn6fFb_WT_LDS_007.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
