source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
50964_Brodie_pool_18_1C_10_19_37_HFX_28May21_Wally_WBEH-20-08-04	50964_Brodie_pool_18_1C_10_19_37_HFX_28May21_Wally_WBEH-20-08-04	soil metagenome	soil	not applicable	not available	Soil_metaproteomes_from_long_term_soil_warming_experiments_in_Blodgett_Forest_CA	soil	soil	not available	not available	not available	not available	soil microbiome	1	50964_Brodie_pool_18_1C_10_19_37_HFX_28May21_Wally_WBEH-20-08-04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	50964_Brodie_pool_18_1C_10_19_37_HFX_28May21_Wally_WBEH-20-08-04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
50964_Brodie_pool_18_1C_30_20_22_HFX_28May21_Wally_WBEH-20-08-04	50964_Brodie_pool_18_1C_30_20_22_HFX_28May21_Wally_WBEH-20-08-04	soil metagenome	soil	not applicable	not available	Soil_metaproteomes_from_long_term_soil_warming_experiments_in_Blodgett_Forest_CA	soil	soil	not available	not available	not available	not available	soil microbiome	1	50964_Brodie_pool_18_1C_30_20_22_HFX_28May21_Wally_WBEH-20-08-04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	50964_Brodie_pool_18_1C_30_20_22_HFX_28May21_Wally_WBEH-20-08-04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
50964_Brodie_pool_18_1C_45_21_29_HFX_26May21_Wally_WBEH-20-08-04	50964_Brodie_pool_18_1C_45_21_29_HFX_26May21_Wally_WBEH-20-08-04	soil metagenome	soil	not applicable	not available	Soil_metaproteomes_from_long_term_soil_warming_experiments_in_Blodgett_Forest_CA	soil	soil	not available	not available	not available	not available	soil microbiome	1	50964_Brodie_pool_18_1C_45_21_29_HFX_26May21_Wally_WBEH-20-08-04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	50964_Brodie_pool_18_1C_45_21_29_HFX_26May21_Wally_WBEH-20-08-04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
50964_Brodie_pool_18_1C_60_22_03_HFX_27May21_Wally_WBEH-20-08-04	50964_Brodie_pool_18_1C_60_22_03_HFX_27May21_Wally_WBEH-20-08-04	soil metagenome	soil	not applicable	not available	Soil_metaproteomes_from_long_term_soil_warming_experiments_in_Blodgett_Forest_CA	soil	soil	not available	not available	not available	not available	soil microbiome	1	50964_Brodie_pool_18_1C_60_22_03_HFX_27May21_Wally_WBEH-20-08-04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	50964_Brodie_pool_18_1C_60_22_03_HFX_27May21_Wally_WBEH-20-08-04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
50964_Brodie_pool_18_1C_80_23_43_HFX_25May21_Wally_WBEH-20-08-04	50964_Brodie_pool_18_1C_80_23_43_HFX_25May21_Wally_WBEH-20-08-04	soil metagenome	soil	not applicable	not available	Soil_metaproteomes_from_long_term_soil_warming_experiments_in_Blodgett_Forest_CA	soil	soil	not available	not available	not available	not available	soil microbiome	1	50964_Brodie_pool_18_1C_80_23_43_HFX_25May21_Wally_WBEH-20-08-04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	50964_Brodie_pool_18_1C_80_23_43_HFX_25May21_Wally_WBEH-20-08-04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
50964_Brodie_pool_18_1H_10_24_38_HFX_28May21_Wally_WBEH-20-08-04	50964_Brodie_pool_18_1H_10_24_38_HFX_28May21_Wally_WBEH-20-08-04	soil metagenome	soil	not applicable	not available	Soil_metaproteomes_from_long_term_soil_warming_experiments_in_Blodgett_Forest_CA	soil	soil	not available	not available	not available	not available	soil microbiome	1	50964_Brodie_pool_18_1H_10_24_38_HFX_28May21_Wally_WBEH-20-08-04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	50964_Brodie_pool_18_1H_10_24_38_HFX_28May21_Wally_WBEH-20-08-04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
50964_Brodie_pool_18_1H_30_25_47_HFX_28May21_Wally_WBEH-20-08-04	50964_Brodie_pool_18_1H_30_25_47_HFX_28May21_Wally_WBEH-20-08-04	soil metagenome	soil	not applicable	not available	Soil_metaproteomes_from_long_term_soil_warming_experiments_in_Blodgett_Forest_CA	soil	soil	not available	not available	not available	not available	soil microbiome	1	50964_Brodie_pool_18_1H_30_25_47_HFX_28May21_Wally_WBEH-20-08-04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	50964_Brodie_pool_18_1H_30_25_47_HFX_28May21_Wally_WBEH-20-08-04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
50964_Brodie_pool_18_1H_45_26_19_HFX_26May21_Wally_WBEH-20-08-04	50964_Brodie_pool_18_1H_45_26_19_HFX_26May21_Wally_WBEH-20-08-04	soil metagenome	soil	not applicable	not available	Soil_metaproteomes_from_long_term_soil_warming_experiments_in_Blodgett_Forest_CA	soil	soil	not available	not available	not available	not available	soil microbiome	1	50964_Brodie_pool_18_1H_45_26_19_HFX_26May21_Wally_WBEH-20-08-04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	50964_Brodie_pool_18_1H_45_26_19_HFX_26May21_Wally_WBEH-20-08-04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
50964_Brodie_pool_18_1H_60_27_36_HFX_27May21_Wally_WBEH-20-08-04	50964_Brodie_pool_18_1H_60_27_36_HFX_27May21_Wally_WBEH-20-08-04	soil metagenome	soil	not applicable	not available	Soil_metaproteomes_from_long_term_soil_warming_experiments_in_Blodgett_Forest_CA	soil	soil	not available	not available	not available	not available	soil microbiome	1	50964_Brodie_pool_18_1H_60_27_36_HFX_27May21_Wally_WBEH-20-08-04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	50964_Brodie_pool_18_1H_60_27_36_HFX_27May21_Wally_WBEH-20-08-04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
50964_Brodie_pool_18_1H_80_28_07_HFX_25May21_Wally_WBEH-20-08-04	50964_Brodie_pool_18_1H_80_28_07_HFX_25May21_Wally_WBEH-20-08-04	soil metagenome	soil	not applicable	not available	Soil_metaproteomes_from_long_term_soil_warming_experiments_in_Blodgett_Forest_CA	soil	soil	not available	not available	not available	not available	soil microbiome	1	50964_Brodie_pool_18_1H_80_28_07_HFX_25May21_Wally_WBEH-20-08-04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	50964_Brodie_pool_18_1H_80_28_07_HFX_25May21_Wally_WBEH-20-08-04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
