source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
032024_DBT1	032024_DBT1	Gordonia alkanivorans	Cell culture	not applicable	not available	Integrated_omics_approaches_to_explore_a_new_system_of_genetic_control_of_dibenzothiophene_desulfurization_in_Gordonia_alkanivorans_strain_135_--_MS1	Cell culture	Cell culture	not available	not available	not available	not available	1	032024_DBT1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	032024_DBT1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
032024_DBT2	032024_DBT2	Gordonia alkanivorans	Cell culture	not applicable	not available	Integrated_omics_approaches_to_explore_a_new_system_of_genetic_control_of_dibenzothiophene_desulfurization_in_Gordonia_alkanivorans_strain_135_--_MS1	Cell culture	Cell culture	not available	not available	not available	not available	1	032024_DBT2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	032024_DBT2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
032024_DBT3	032024_DBT3	Gordonia alkanivorans	Cell culture	not applicable	not available	Integrated_omics_approaches_to_explore_a_new_system_of_genetic_control_of_dibenzothiophene_desulfurization_in_Gordonia_alkanivorans_strain_135_--_MS1	Cell culture	Cell culture	not available	not available	not available	not available	1	032024_DBT3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	032024_DBT3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
032024_DBT4	032024_DBT4	Gordonia alkanivorans	Cell culture	not applicable	not available	Integrated_omics_approaches_to_explore_a_new_system_of_genetic_control_of_dibenzothiophene_desulfurization_in_Gordonia_alkanivorans_strain_135_--_MS1	Cell culture	Cell culture	not available	not available	not available	not available	1	032024_DBT4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	032024_DBT4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
032024_DBT5	032024_DBT5	Gordonia alkanivorans	Cell culture	not applicable	not available	Integrated_omics_approaches_to_explore_a_new_system_of_genetic_control_of_dibenzothiophene_desulfurization_in_Gordonia_alkanivorans_strain_135_--_MS1	Cell culture	Cell culture	not available	not available	not available	not available	1	032024_DBT5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	032024_DBT5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
032024_E10_1	032024_E10_1	Gordonia alkanivorans	Cell culture	not applicable	not available	Integrated_omics_approaches_to_explore_a_new_system_of_genetic_control_of_dibenzothiophene_desulfurization_in_Gordonia_alkanivorans_strain_135_--_MS1	Cell culture	Cell culture	not available	not available	not available	not available	1	032024_E10_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	032024_E10_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
032024_E10_2	032024_E10_2	Gordonia alkanivorans	Cell culture	not applicable	not available	Integrated_omics_approaches_to_explore_a_new_system_of_genetic_control_of_dibenzothiophene_desulfurization_in_Gordonia_alkanivorans_strain_135_--_MS1	Cell culture	Cell culture	not available	not available	not available	not available	1	032024_E10_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	032024_E10_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
032024_E10_3	032024_E10_3	Gordonia alkanivorans	Cell culture	not applicable	not available	Integrated_omics_approaches_to_explore_a_new_system_of_genetic_control_of_dibenzothiophene_desulfurization_in_Gordonia_alkanivorans_strain_135_--_MS1	Cell culture	Cell culture	not available	not available	not available	not available	1	032024_E10_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	032024_E10_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
032024_E10_4	032024_E10_4	Gordonia alkanivorans	Cell culture	not applicable	not available	Integrated_omics_approaches_to_explore_a_new_system_of_genetic_control_of_dibenzothiophene_desulfurization_in_Gordonia_alkanivorans_strain_135_--_MS1	Cell culture	Cell culture	not available	not available	not available	not available	1	032024_E10_4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	032024_E10_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
032024_E10_5	032024_E10_5	Gordonia alkanivorans	Cell culture	not applicable	not available	Integrated_omics_approaches_to_explore_a_new_system_of_genetic_control_of_dibenzothiophene_desulfurization_in_Gordonia_alkanivorans_strain_135_--_MS1	Cell culture	Cell culture	not available	not available	not available	not available	1	032024_E10_5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	032024_E10_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
