source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
PXD003792-Sample-1	Homo sapiens	heart	fetal cardiomyocyte	not available	1	140908_SemenzaG_BJ_HIF1a_1-80_Trp	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	140908_SemenzaG_BJ_HIF1a_1-80_Trp.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	heart
PXD003792-Sample-2	Homo sapiens	heart	fetal cardiomyocyte	not available	1	140908_SemenzaG_BJ_HIF1a_331-427_Trp	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	140908_SemenzaG_BJ_HIF1a_331-427_Trp.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	heart
PXD003792-Sample-3	Homo sapiens	heart	fetal cardiomyocyte	not available	1	140908_SemenzaG_BJ_HIF1a_432-528_Trp	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	140908_SemenzaG_BJ_HIF1a_432-528_Trp.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	heart
PXD003792-Sample-4	Homo sapiens	heart	fetal cardiomyocyte	not available	1	140908_SemenzaG_BJ_HIF1a_531-826_Trp	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	140908_SemenzaG_BJ_HIF1a_531-826_Trp.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	heart
PXD003792-Sample-5	Homo sapiens	heart	fetal cardiomyocyte	not available	1	150206_SemenzaG_BJ_HIF1a_331_GluC	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	150206_SemenzaG_BJ_HIF1a_331_GluC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	heart
PXD003792-Sample-6	Homo sapiens	heart	fetal cardiomyocyte	not available	1	150206_SemenzaG_BJ_HIF1a_432_GluC	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	150206_SemenzaG_BJ_HIF1a_432_GluC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	heart
PXD003792-Sample-7	Homo sapiens	heart	fetal cardiomyocyte	not available	1	150206_SemenzaG_BJ_HIF1a_532_GluC	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	150206_SemenzaG_BJ_HIF1a_532_GluC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	heart
