source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[diet duration]	characteristics[diet]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	factor value[diet duration]	factor value[treatment]
mouse_1	Mus musculus	blood plasma	not applicable	1	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_1	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	Dual GIP/GLP-1 Receptor Agonist
mouse_2	Mus musculus	blood plasma	not applicable	2	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_2	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	Dual GIP/GLP-1 Receptor Agonist
mouse_3	Mus musculus	blood plasma	not applicable	1	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_3	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	GLP-1 receptor agonist
mouse_5	Mus musculus	blood plasma	not applicable	2	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_5	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	GLP-1 receptor agonist
mouse_6	Mus musculus	blood plasma	not applicable	3	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_6_20180916173307	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_6_20180916173307.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	GLP-1 receptor agonist
mouse_7	Mus musculus	blood plasma	not applicable	4	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_7	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	GLP-1 receptor agonist
mouse_8	Mus musculus	blood plasma	not applicable	5	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_8	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	GLP-1 receptor agonist
mouse_9	Mus musculus	blood plasma	not applicable	1	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_9_20180915190727	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_9_20180915190727.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	Drug Vehicle
mouse_10	Mus musculus	blood plasma	not applicable	2	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_10_20180917115930	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_10_20180917115930.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	Drug Vehicle
mouse_11	Mus musculus	blood plasma	not applicable	3	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_11	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	Drug Vehicle
