source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[mhc protein complex]	characteristics[immunopeptidome enrichment method]	characteristics[mhc typing]	characteristics[mhc typing method]	characteristics[antibody enrichment]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms min im]	comment[ms max im]	comment[elution conditions]	factor value[source name]
PXD064980-Donor1-macrophage	Homo sapiens	blood	macrophage	1	normal	cell	co-culture with TAT-CUB2 peptide-loaded red blood cells, 24 h	not available	not available	not available	Donor1	MHC class II protein complex	immunoaffinity purification	HLA-DRB1*11;HLA-DRB1*15	not available	L243	Donor1-HLA-DR-rep1	proteomic profiling by mass spectrometry	1	S1_Donor1_HLA_rep1_S1-A1_1_13422.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 eV;59 eV	20 ppm	10 ppm	not applicable	not applicable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=time-of-flight;AC=MS:1000084	0.6	1.6	10% acetic acid, 10 min at room temperature	PXD064980-Donor1-macrophage
PXD064980-Donor1-macrophage	Homo sapiens	blood	macrophage	1	normal	cell	co-culture with TAT-CUB2 peptide-loaded red blood cells, 24 h	not available	not available	not available	Donor1	MHC class II protein complex	immunoaffinity purification	HLA-DRB1*11;HLA-DRB1*15	not available	L243	Donor1-HLA-DR-rep2	proteomic profiling by mass spectrometry	2	S2_Donor1_HLA_rep2_S1-A2_1_13423.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 eV;59 eV	20 ppm	10 ppm	not applicable	not applicable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=time-of-flight;AC=MS:1000084	0.6	1.6	10% acetic acid, 10 min at room temperature	PXD064980-Donor1-macrophage
PXD064980-Donor1-macrophage	Homo sapiens	blood	macrophage	1	normal	cell	co-culture with TAT-CUB2 peptide-loaded red blood cells, 24 h	not available	not available	not available	Donor1	MHC class II protein complex	immunoaffinity purification	HLA-DRB1*11;HLA-DRB1*15	not available	L243	Donor1-HLA-DR-rep3	proteomic profiling by mass spectrometry	3	S3_Donor1_HLA_rep3_S1-A3_1_13424.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 eV;59 eV	20 ppm	10 ppm	not applicable	not applicable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=time-of-flight;AC=MS:1000084	0.6	1.6	10% acetic acid, 10 min at room temperature	PXD064980-Donor1-macrophage
PXD064980-Donor2-macrophage	Homo sapiens	blood	macrophage	2	normal	cell	co-culture with TAT-CUB2 peptide-loaded red blood cells, 24 h	not available	not available	not available	Donor2	MHC class II protein complex	immunoaffinity purification	HLA-DRB1*11;HLA-DRB1*15	not available	L243	Donor2-HLA-DR-rep1	proteomic profiling by mass spectrometry	1	S7_Donor2_HLA_rep1_S1-B1_1_13425.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 eV;59 eV	20 ppm	10 ppm	not applicable	not applicable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=time-of-flight;AC=MS:1000084	0.6	1.6	10% acetic acid, 10 min at room temperature	PXD064980-Donor2-macrophage
PXD064980-Donor2-macrophage	Homo sapiens	blood	macrophage	2	normal	cell	co-culture with TAT-CUB2 peptide-loaded red blood cells, 24 h	not available	not available	not available	Donor2	MHC class II protein complex	immunoaffinity purification	HLA-DRB1*11;HLA-DRB1*15	not available	L243	Donor2-HLA-DR-rep2	proteomic profiling by mass spectrometry	2	S8_Donor2_HLA_rep2_S1-B2_1_13426.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 eV;59 eV	20 ppm	10 ppm	not applicable	not applicable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=time-of-flight;AC=MS:1000084	0.6	1.6	10% acetic acid, 10 min at room temperature	PXD064980-Donor2-macrophage
PXD064980-Donor2-macrophage	Homo sapiens	blood	macrophage	2	normal	cell	co-culture with TAT-CUB2 peptide-loaded red blood cells, 24 h	not available	not available	not available	Donor2	MHC class II protein complex	immunoaffinity purification	HLA-DRB1*11;HLA-DRB1*15	not available	L243	Donor2-HLA-DR-rep3	proteomic profiling by mass spectrometry	3	S9_Donor2_HLA_rep3_S1-B3_1_13427.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 eV;59 eV	20 ppm	10 ppm	not applicable	not applicable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=time-of-flight;AC=MS:1000084	0.6	1.6	10% acetic acid, 10 min at room temperature	PXD064980-Donor2-macrophage
PXD064980-Donor3-macrophage	Homo sapiens	blood	macrophage	3	normal	cell	co-culture with TAT-CUB2 peptide-loaded red blood cells, 24 h	not available	not available	not available	Donor3	MHC class II protein complex	immunoaffinity purification	HLA-DRB1*11;HLA-DRB1*15	not available	L243	Donor3-HLA-DR-rep1	proteomic profiling by mass spectrometry	1	S13_Donor3_HLA_rep1_S1-C1_1_13428.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 eV;59 eV	20 ppm	10 ppm	not applicable	not applicable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=time-of-flight;AC=MS:1000084	0.6	1.6	10% acetic acid, 10 min at room temperature	PXD064980-Donor3-macrophage
PXD064980-Donor3-macrophage	Homo sapiens	blood	macrophage	3	normal	cell	co-culture with TAT-CUB2 peptide-loaded red blood cells, 24 h	not available	not available	not available	Donor3	MHC class II protein complex	immunoaffinity purification	HLA-DRB1*11;HLA-DRB1*15	not available	L243	Donor3-HLA-DR-rep2	proteomic profiling by mass spectrometry	2	S14_Donor3_HLA_rep2_S1-C2_1_13429.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 eV;59 eV	20 ppm	10 ppm	not applicable	not applicable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=time-of-flight;AC=MS:1000084	0.6	1.6	10% acetic acid, 10 min at room temperature	PXD064980-Donor3-macrophage
PXD064980-Donor3-macrophage	Homo sapiens	blood	macrophage	3	normal	cell	co-culture with TAT-CUB2 peptide-loaded red blood cells, 24 h	not available	not available	not available	Donor3	MHC class II protein complex	immunoaffinity purification	HLA-DRB1*11;HLA-DRB1*15	not available	L243	Donor3-HLA-DR-rep3	proteomic profiling by mass spectrometry	3	S15_Donor3_HLA_rep3_S1-C3_1_13430.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 eV;59 eV	20 ppm	10 ppm	not applicable	not applicable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=time-of-flight;AC=MS:1000084	0.6	1.6	10% acetic acid, 10 min at room temperature	PXD064980-Donor3-macrophage
PXD064980-Donor4-macrophage	Homo sapiens	blood	macrophage	4	normal	cell	co-culture with TAT-CUB2 peptide-loaded red blood cells, 24 h	not available	not available	not available	Donor4	MHC class II protein complex	immunoaffinity purification	HLA-DRB1*08;HLA-DRB1*15	not available	L243	Donor4-HLA-DR-rep1	proteomic profiling by mass spectrometry	1	S19_Donor4_HLA_rep1_S1-E1_1_13431.d.ZIP	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 eV;59 eV	20 ppm	10 ppm	not applicable	not applicable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=time-of-flight;AC=MS:1000084	0.6	1.6	10% acetic acid, 10 min at room temperature	PXD064980-Donor4-macrophage
