source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[environmental medium]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sample name]
121209_V2_P6_CH_CL_2u_1_3	121209_V2_P6_CH_CL_2u_1_3	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	121209_V2_P6_CH_CL_2u_1_3	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	121209_V2_P6_CH_CL_2u_1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	121209_V2_P6_CH_CL_2u_1_3
121209_V2_P6_CH_CL_2u_1_5	121209_V2_P6_CH_CL_2u_1_5	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	121209_V2_P6_CH_CL_2u_1_5	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	121209_V2_P6_CH_CL_2u_1_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	121209_V2_P6_CH_CL_2u_1_5
121210_V2_P6_CH_CL_2u_2_3	121210_V2_P6_CH_CL_2u_2_3	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	121210_V2_P6_CH_CL_2u_2_3	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	121210_V2_P6_CH_CL_2u_2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	121210_V2_P6_CH_CL_2u_2_3
121211_V2_P6_CH_CL_2u_3_3b	121211_V2_P6_CH_CL_2u_3_3b	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	121211_V2_P6_CH_CL_2u_3_3b	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	121211_V2_P6_CH_CL_2u_3_3b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	121211_V2_P6_CH_CL_2u_3_3b
121211_V2_P6_CH_CL_2u_3_5b	121211_V2_P6_CH_CL_2u_3_5b	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	121211_V2_P6_CH_CL_2u_3_5b	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	121211_V2_P6_CH_CL_2u_3_5b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	121211_V2_P6_CH_CL_2u_3_5b
121213_V2_P6_CH_CL_1u_1_7	121213_V2_P6_CH_CL_1u_1_7	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	121213_V2_P6_CH_CL_1u_1_7	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	121213_V2_P6_CH_CL_1u_1_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	121213_V2_P6_CH_CL_1u_1_7
121213_V2_P6_CH_CL_1u_1_8	121213_V2_P6_CH_CL_1u_1_8	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	121213_V2_P6_CH_CL_1u_1_8	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	121213_V2_P6_CH_CL_1u_1_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	121213_V2_P6_CH_CL_1u_1_8
121213_V2_P6_CH_CL_1u_1_9	121213_V2_P6_CH_CL_1u_1_9	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	121213_V2_P6_CH_CL_1u_1_9	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	121213_V2_P6_CH_CL_1u_1_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	121213_V2_P6_CH_CL_1u_1_9
121214_V2_P6_CH_CL_1u_2_7	121214_V2_P6_CH_CL_1u_2_7	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	121214_V2_P6_CH_CL_1u_2_7	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	121214_V2_P6_CH_CL_1u_2_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	121214_V2_P6_CH_CL_1u_2_7
121215_V2_P6_CH_CL_1u_3_6	121215_V2_P6_CH_CL_1u_3_6	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	121215_V2_P6_CH_CL_1u_3_6	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	121215_V2_P6_CH_CL_1u_3_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	121215_V2_P6_CH_CL_1u_3_6
