source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[sampling site]	characteristics[individual]	characteristics[compound]	characteristics[sampling time]	characteristics[enrichment process]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]	factor value[compound]	factor value[sampling time]	factor value[enrichment process]
NCI-H508-AL-15min-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	alpelisib	15 minute	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_AL_15min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_AL_15min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	alpelisib	15 minute	enrichment of phosphorylated protein
NCI-H508-AL-1h-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	alpelisib	1 hour	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_AL_1h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_AL_1h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	alpelisib	1 hour	enrichment of phosphorylated protein
NCI-H508-AL-24h-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	alpelisib	24 hour	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_AL_24h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_AL_24h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	alpelisib	24 hour	enrichment of phosphorylated protein
NCI-H508-AL-48h-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	alpelisib	48 hour	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_AL_48h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_AL_48h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	alpelisib	48 hour	enrichment of phosphorylated protein
NCI-H508-AL-5min-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	alpelisib	5 minute	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_AL_5min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_AL_5min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	alpelisib	5 minute	enrichment of phosphorylated protein
NCI-H508-AL-6h-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	alpelisib	6 hour	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_AL_6h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_AL_6h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	alpelisib	6 hour	enrichment of phosphorylated protein
NCI-H508-AL-96h-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	alpelisib	96 hour	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_AL_96h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_AL_96h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	alpelisib	96 hour	enrichment of phosphorylated protein
NCI-H508-C-15min-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	dimethyl sulfoxide	15 minute	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_C_15min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_C_15min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	dimethyl sulfoxide	15 minute	enrichment of phosphorylated protein
NCI-H508-C-1h-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	dimethyl sulfoxide	1 hour	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_C_1h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_C_1h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	dimethyl sulfoxide	1 hour	enrichment of phosphorylated protein
NCI-H508-C-24h-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	dimethyl sulfoxide	24 hour	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_C_24h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_C_24h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	dimethyl sulfoxide	24 hour	enrichment of phosphorylated protein
