source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
nsp7-Crosslinking-DSSO-C	Homo sapiens	not available	not available	not available	not available	1	nsp7-Crosslinking-DSSO-C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	nsp7-Crosslinking-DSSO-C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	not available
selenos-nsp7-Crosslinking-DSSO-A	Homo sapiens	not available	not available	not available	not available	1	selenos-nsp7-Crosslinking-DSSO-A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	selenos-nsp7-Crosslinking-DSSO-A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	not available
nsp7-Crosslinking-DSSO-B	Homo sapiens	not available	not available	not available	not available	1	nsp7-Crosslinking-DSSO-B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	nsp7-Crosslinking-DSSO-B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	not available
nsp7-Crosslinking-DSSO-A	Homo sapiens	not available	not available	not available	not available	1	nsp7-Crosslinking-DSSO-A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	nsp7-Crosslinking-DSSO-A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	not available
selenos-nsp7-Crosslinking-DSSO-B	Homo sapiens	not available	not available	not available	not available	1	selenos-nsp7-Crosslinking-DSSO-B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	selenos-nsp7-Crosslinking-DSSO-B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	not available
selenos-nsp7-Control-NoCrosslinker-B	Homo sapiens	not available	not available	not available	not available	1	selenos-nsp7-Control-NoCrosslinker-B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	selenos-nsp7-Control-NoCrosslinker-B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	not available
selenos-nsp7-Crosslinking-DSSO-C	Homo sapiens	not available	not available	not available	not available	1	selenos-nsp7-Crosslinking-DSSO-C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	selenos-nsp7-Crosslinking-DSSO-C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	not available
selenos-nsp7-Control-NoCrosslinker-A	Homo sapiens	not available	not available	not available	not available	1	selenos-nsp7-Control-NoCrosslinker-A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	selenos-nsp7-Control-NoCrosslinker-A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	not available
selenos-Crosslinking-DSSO-A	Homo sapiens	not available	not available	not available	not available	1	selenos-Crosslinking-DSSO-A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	selenos-Crosslinking-DSSO-A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	not available
selenos-Crosslinking-DSSO-C	Homo sapiens	not available	not available	not available	not available	1	selenos-Crosslinking-DSSO-C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	selenos-Crosslinking-DSSO-C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	not available
