source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[growth condition]
spombe_wt_g1	Schizosaccharomyces pombe	not applicable	not applicable	normal	not available	not available	not available	972h-	cell	1	run_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	10 ppm	20 ppm	1	1	WT-G1-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	quiescence G0 day 1
spombe_wt_g1	Schizosaccharomyces pombe	not applicable	not applicable	normal	not available	not available	not available	972h-	cell	2	run_2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	10 ppm	20 ppm	1	1	WT-G1-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	quiescence G0 day 1
spombe_wt_g14	Schizosaccharomyces pombe	not applicable	not applicable	normal	not available	not available	not available	972h-	cell	1	run_3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	10 ppm	20 ppm	1	1	WT-G14-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	quiescence G0 day 14
spombe_wt_g14	Schizosaccharomyces pombe	not applicable	not applicable	normal	not available	not available	not available	972h-	cell	2	run_4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	10 ppm	20 ppm	1	1	WT-G14-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	quiescence G0 day 14
spombe_wt_g7	Schizosaccharomyces pombe	not applicable	not applicable	normal	not available	not available	not available	972h-	cell	1	run_5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	10 ppm	20 ppm	1	1	WT-G7-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	quiescence G0 day 7
spombe_wt_g7	Schizosaccharomyces pombe	not applicable	not applicable	normal	not available	not available	not available	972h-	cell	2	run_6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	10 ppm	20 ppm	1	1	WT-G7-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	quiescence G0 day 7
spombe_wt_ve	Schizosaccharomyces pombe	not applicable	not applicable	normal	not available	not available	not available	972h-	cell	1	run_7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	10 ppm	20 ppm	1	1	WT-VE-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	vegetative growth
spombe_wt_ve	Schizosaccharomyces pombe	not applicable	not applicable	normal	not available	not available	not available	972h-	cell	2	run_8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	10 ppm	20 ppm	1	1	WT-VE-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	vegetative growth
