source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
OR7_20140407_GM_KI_Glioma_Mix3_ReRunFr9	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140407_GM_KI_Glioma_Mix3_ReRunFr9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	OR7_20140407_GM_KI_Glioma_Mix3_ReRunFr9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140407_GM_KI_Glioma_Mix3_ReRunFr9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140407_GM_KI_Glioma_Mix3_Fr1	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140407_GM_KI_Glioma_Mix3_Fr1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	OR7_20140407_GM_KI_Glioma_Mix3_Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140407_GM_KI_Glioma_Mix3_Fr1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140407_GM_KI_Glioma_Mix3_Fr5	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140407_GM_KI_Glioma_Mix3_Fr5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	5	1	OR7_20140407_GM_KI_Glioma_Mix3_Fr5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140407_GM_KI_Glioma_Mix3_Fr5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140404_GM_KI_Glioma_Mix2_Fr1	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140404_GM_KI_Glioma_Mix2_Fr1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	OR7_20140404_GM_KI_Glioma_Mix2_Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140404_GM_KI_Glioma_Mix2_Fr1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140407_GM_KI_Glioma_Mix3_Fr3	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140407_GM_KI_Glioma_Mix3_Fr3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	3	1	OR7_20140407_GM_KI_Glioma_Mix3_Fr3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140407_GM_KI_Glioma_Mix3_Fr3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140405_GM_KI_Glioma_Mix2_Fr5	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140405_GM_KI_Glioma_Mix2_Fr5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	5	1	OR7_20140405_GM_KI_Glioma_Mix2_Fr5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140405_GM_KI_Glioma_Mix2_Fr5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140405_GM_KI_Glioma_Mix2_ReRun3	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140405_GM_KI_Glioma_Mix2_ReRun3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	OR7_20140405_GM_KI_Glioma_Mix2_ReRun3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140405_GM_KI_Glioma_Mix2_ReRun3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140405_GM_KI_Glioma_Mix2_Fr7	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140405_GM_KI_Glioma_Mix2_Fr7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	7	1	OR7_20140405_GM_KI_Glioma_Mix2_Fr7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140405_GM_KI_Glioma_Mix2_Fr7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140407_GM_KI_Glioma_Mix3_Fr6	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140407_GM_KI_Glioma_Mix3_Fr6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	6	1	OR7_20140407_GM_KI_Glioma_Mix3_Fr6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140407_GM_KI_Glioma_Mix3_Fr6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140403_GM_KI_Glioma_Mix1_ReRunFr2	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140403_GM_KI_Glioma_Mix1_ReRunFr2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	OR7_20140403_GM_KI_Glioma_Mix1_ReRunFr2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140403_GM_KI_Glioma_Mix1_ReRunFr2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
