source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
Jack_WT_rep1	Glycine max	seed	plant cell	normal	seed development stage	Jack	not available	untreated	organism part	study sample	not pooled	1	G1_D	proteomic profiling by mass spectrometry	NT=LTQ Velos;AC=MS:1000855	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dioxidation;AC=UNIMOD:425;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.75 Da	0.75 Da	NT=radial ejection linear ion trap;AC=MS:1000083	not available	not available	not applicable	1	1	G1_D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
Jack_WT_rep1	Glycine max	seed	plant cell	normal	seed development stage	Jack	not available	untreated	organism part	study sample	not pooled	1	G1_S	proteomic profiling by mass spectrometry	NT=LTQ Velos;AC=MS:1000855	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dioxidation;AC=UNIMOD:425;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.75 Da	0.75 Da	NT=radial ejection linear ion trap;AC=MS:1000083	not available	not available	not applicable	4	1	G1_S.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
Jack_WT_rep1	Glycine max	seed	plant cell	normal	seed development stage	Jack	not available	untreated	organism part	study sample	not pooled	1	G1_Tr	proteomic profiling by mass spectrometry	NT=LTQ Velos;AC=MS:1000855	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dioxidation;AC=UNIMOD:425;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.75 Da	0.75 Da	NT=radial ejection linear ion trap;AC=MS:1000083	not available	not available	not applicable	2	1	G1_Tr.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
Jack_WT_rep1	Glycine max	seed	plant cell	normal	seed development stage	Jack	not available	untreated	organism part	study sample	not pooled	1	G1_Tw	proteomic profiling by mass spectrometry	NT=LTQ Velos;AC=MS:1000855	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dioxidation;AC=UNIMOD:425;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.75 Da	0.75 Da	NT=radial ejection linear ion trap;AC=MS:1000083	not available	not available	not applicable	3	1	G1_Tw.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
Jack_WT_rep1	Glycine max	seed	plant cell	normal	seed development stage	Jack	not available	untreated	organism part	study sample	not pooled	1	G1_U	proteomic profiling by mass spectrometry	NT=LTQ Velos;AC=MS:1000855	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dioxidation;AC=UNIMOD:425;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.75 Da	0.75 Da	NT=radial ejection linear ion trap;AC=MS:1000083	not available	not available	not applicable	5	1	G1_U.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
Jack_WT_rep2	Glycine max	seed	plant cell	normal	seed development stage	Jack	not available	untreated	organism part	study sample	not pooled	2	G2_D	proteomic profiling by mass spectrometry	NT=LTQ Velos;AC=MS:1000855	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dioxidation;AC=UNIMOD:425;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.75 Da	0.75 Da	NT=radial ejection linear ion trap;AC=MS:1000083	not available	not available	not applicable	1	1	G2_D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
Jack_WT_rep2	Glycine max	seed	plant cell	normal	seed development stage	Jack	not available	untreated	organism part	study sample	not pooled	2	G2_S	proteomic profiling by mass spectrometry	NT=LTQ Velos;AC=MS:1000855	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dioxidation;AC=UNIMOD:425;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.75 Da	0.75 Da	NT=radial ejection linear ion trap;AC=MS:1000083	not available	not available	not applicable	4	1	G2_S.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
Jack_WT_rep2	Glycine max	seed	plant cell	normal	seed development stage	Jack	not available	untreated	organism part	study sample	not pooled	2	G2_Tr	proteomic profiling by mass spectrometry	NT=LTQ Velos;AC=MS:1000855	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dioxidation;AC=UNIMOD:425;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.75 Da	0.75 Da	NT=radial ejection linear ion trap;AC=MS:1000083	not available	not available	not applicable	2	1	G2_Tr.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
Jack_WT_rep2	Glycine max	seed	plant cell	normal	seed development stage	Jack	not available	untreated	organism part	study sample	not pooled	2	G2_Tw	proteomic profiling by mass spectrometry	NT=LTQ Velos;AC=MS:1000855	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dioxidation;AC=UNIMOD:425;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.75 Da	0.75 Da	NT=radial ejection linear ion trap;AC=MS:1000083	not available	not available	not applicable	3	1	G2_Tw.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
Jack_WT_rep2	Glycine max	seed	plant cell	normal	seed development stage	Jack	not available	untreated	organism part	study sample	not pooled	2	G2_U	proteomic profiling by mass spectrometry	NT=LTQ Velos;AC=MS:1000855	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dioxidation;AC=UNIMOD:425;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.75 Da	0.75 Da	NT=radial ejection linear ion trap;AC=MS:1000083	not available	not available	not applicable	5	1	G2_U.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	untreated
