source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[sdrf template]
hTrf_GlyPep_LC-MS_130606	homo sapiens	not available	HEK293	not available	HEK293	CVCL_0045	HEK293	1	not available	not available	hTrf_GlyPep_LC-MS_130606	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq;AC=MS:1000447	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	hTrf_GlyPep_LC-MS_130606.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002803/hTrf_GlyPep_LC-MS_130606.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
hTrf_GlyPep_LC-MS_130228	homo sapiens	not available	HEK293	not available	HEK293	CVCL_0045	HEK293	1	not available	not available	hTrf_GlyPep_LC-MS_130228	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq;AC=MS:1000447	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	hTrf_GlyPep_LC-MS_130228.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002803/hTrf_GlyPep_LC-MS_130228.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
hTrf_GlyPep_LC-MS_130130	homo sapiens	not available	HEK293	not available	HEK293	CVCL_0045	HEK293	1	not available	not available	hTrf_GlyPep_LC-MS_130130	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq;AC=MS:1000447	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	hTrf_GlyPep_LC-MS_130130.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002803/hTrf_GlyPep_LC-MS_130130.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0
