source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
MOCK_1	NT=Homo sapiens;AC=NCBITaxon:9606	brain microvascular endothelium	hCMEC/D3	not applicable	hCMEC/D3	not available	not available	1	MOCK_1	mass spectrometry	Data-independent acquisition	Orbitrap Astral	unlabeled sample	trypsin	1	1	YAS202312120059_1_MOCK_1.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
MOCK_2	NT=Homo sapiens;AC=NCBITaxon:9606	brain microvascular endothelium	hCMEC/D3	not applicable	hCMEC/D3	not available	not available	2	MOCK_2	mass spectrometry	Data-independent acquisition	Orbitrap Astral	unlabeled sample	trypsin	1	1	YAS202312120059_1_MOCK_2.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
MOCK_3	NT=Homo sapiens;AC=NCBITaxon:9606	brain microvascular endothelium	hCMEC/D3	not applicable	hCMEC/D3	not available	not available	3	MOCK_3	mass spectrometry	Data-independent acquisition	Orbitrap Astral	unlabeled sample	trypsin	1	1	YAS202312120059_1_MOCK_3.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
RS218_1	NT=Homo sapiens;AC=NCBITaxon:9606	brain microvascular endothelium	hCMEC/D3	not applicable	hCMEC/D3	not available	not available	1	RS218_1	mass spectrometry	Data-independent acquisition	Orbitrap Astral	unlabeled sample	trypsin	1	1	YAS202312120059_1_RS218_1.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
RS218_2	NT=Homo sapiens;AC=NCBITaxon:9606	brain microvascular endothelium	hCMEC/D3	not applicable	hCMEC/D3	not available	not available	2	RS218_2	mass spectrometry	Data-independent acquisition	Orbitrap Astral	unlabeled sample	trypsin	1	1	YAS202312120059_1_RS218_2.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
RS218_3	NT=Homo sapiens;AC=NCBITaxon:9606	brain microvascular endothelium	hCMEC/D3	not applicable	hCMEC/D3	not available	not available	3	RS218_3	mass spectrometry	Data-independent acquisition	Orbitrap Astral	unlabeled sample	trypsin	1	1	YAS202312120059_1_RS218_3.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
