source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[strain]	characteristics[age]	characteristics[genotype]	characteristics[material type]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
WT_1111	Mus musculus	heart	normal	not applicable	adult	C57BL/KsJ	12W	wild type	tissue	enrichment of ubiquitinated proteins	1	run_WT_1111	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	WT_1111.raw	v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type
WT_240	Mus musculus	heart	normal	not applicable	adult	C57BL/KsJ	12W	wild type	tissue	enrichment of ubiquitinated proteins	2	run_WT_240	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	WT_240.raw	v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type
WT_270	Mus musculus	heart	normal	not applicable	adult	C57BL/KsJ	12W	wild type	tissue	enrichment of ubiquitinated proteins	3	run_WT_270	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	WT_270.raw	v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type
DICAR-_1	Mus musculus	heart	diabetic cardiomyopathy	not applicable	adult	C57BL/KsJ	12W	DICAR+/-	tissue	enrichment of ubiquitinated proteins	1	run_DICAR-_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	DICAR-_1.raw	v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	DICAR+/-
DICAR-_2	Mus musculus	heart	diabetic cardiomyopathy	not applicable	adult	C57BL/KsJ	12W	DICAR+/-	tissue	enrichment of ubiquitinated proteins	2	run_DICAR-_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	DICAR-_2.raw	v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	DICAR+/-
DICAR-_3	Mus musculus	heart	diabetic cardiomyopathy	not applicable	adult	C57BL/KsJ	12W	DICAR+/-	tissue	enrichment of ubiquitinated proteins	3	run_DICAR-_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	DICAR-_3.raw	v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	DICAR+/-
