source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[depth]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[size-fraction lower threshold]	comment[size-fraction upper threshold]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[depth]
EastSound_D18_H17	EastSound_D18_H17	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	NT=Orcas Island;AC=GAZ:00050138 (East Sound, WA, USA; 48.6765 N, 122.883233 W)	not available	pumped seawater filtered through 200/100/10/1 um cascade onto 0.22 um PES (bacterial fraction)	2 m	1	2022_01_13_HAB_timeseries_DDA_39_18-17	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	0.22 um	1 um	1	1	2022_01_13_HAB_timeseries_DDA_39_18-17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2 m
EastSound_D19_H17	EastSound_D19_H17	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	NT=Orcas Island;AC=GAZ:00050138 (East Sound, WA, USA; 48.6765 N, 122.883233 W)	not available	pumped seawater filtered through 200/100/10/1 um cascade onto 0.22 um PES (bacterial fraction)	2 m	1	2022_01_13_HAB_timeseries_DDA_40_19-17	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	0.22 um	1 um	1	1	2022_01_13_HAB_timeseries_DDA_40_19-17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2 m
EastSound_D18_H09	EastSound_D18_H09	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	NT=Orcas Island;AC=GAZ:00050138 (East Sound, WA, USA; 48.6765 N, 122.883233 W)	not available	pumped seawater filtered through 200/100/10/1 um cascade onto 0.22 um PES (bacterial fraction)	2 m	1	2022_01_13_HAB_timeseries_DDA_41_18-09	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	0.22 um	1 um	1	1	2022_01_13_HAB_timeseries_DDA_41_18-09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2 m
EastSound_D22_H05	EastSound_D22_H05	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	NT=Orcas Island;AC=GAZ:00050138 (East Sound, WA, USA; 48.6765 N, 122.883233 W)	not available	pumped seawater filtered through 200/100/10/1 um cascade onto 0.22 um PES (bacterial fraction)	2 m	1	2022_01_13_HAB_timeseries_DDA_42_22-05	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	0.22 um	1 um	1	1	2022_01_13_HAB_timeseries_DDA_42_22-05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2 m
EastSound_D17_H05	EastSound_D17_H05	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	NT=Orcas Island;AC=GAZ:00050138 (East Sound, WA, USA; 48.6765 N, 122.883233 W)	not available	pumped seawater filtered through 200/100/10/1 um cascade onto 0.22 um PES (bacterial fraction)	2 m	1	2022_01_13_HAB_timeseries_DDA_43_17-05	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	0.22 um	1 um	1	1	2022_01_13_HAB_timeseries_DDA_43_17-05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2 m
EastSound_D20_H01	EastSound_D20_H01	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	NT=Orcas Island;AC=GAZ:00050138 (East Sound, WA, USA; 48.6765 N, 122.883233 W)	not available	pumped seawater filtered through 200/100/10/1 um cascade onto 0.22 um PES (bacterial fraction)	2 m	1	2022_01_13_HAB_timeseries_DDA_44_20-01	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	0.22 um	1 um	1	1	2022_01_13_HAB_timeseries_DDA_44_20-01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2 m
EastSound_D17_H01	EastSound_D17_H01	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	NT=Orcas Island;AC=GAZ:00050138 (East Sound, WA, USA; 48.6765 N, 122.883233 W)	not available	pumped seawater filtered through 200/100/10/1 um cascade onto 0.22 um PES (bacterial fraction)	2 m	1	2022_01_13_HAB_timeseries_DDA_45_17-01	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	0.22 um	1 um	1	1	2022_01_13_HAB_timeseries_DDA_45_17-01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2 m
EastSound_D20_H09	EastSound_D20_H09	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	NT=Orcas Island;AC=GAZ:00050138 (East Sound, WA, USA; 48.6765 N, 122.883233 W)	not available	pumped seawater filtered through 200/100/10/1 um cascade onto 0.22 um PES (bacterial fraction)	2 m	1	2022_01_13_HAB_timeseries_DDA_46_20-09	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	0.22 um	1 um	1	1	2022_01_13_HAB_timeseries_DDA_46_20-09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2 m
EastSound_D18_H01	EastSound_D18_H01	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	NT=Orcas Island;AC=GAZ:00050138 (East Sound, WA, USA; 48.6765 N, 122.883233 W)	not available	pumped seawater filtered through 200/100/10/1 um cascade onto 0.22 um PES (bacterial fraction)	2 m	1	2022_01_13_HAB_timeseries_DDA_47_18-01	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	0.22 um	1 um	1	1	2022_01_13_HAB_timeseries_DDA_47_18-01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2 m
EastSound_D21_H17	EastSound_D21_H17	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	NT=Orcas Island;AC=GAZ:00050138 (East Sound, WA, USA; 48.6765 N, 122.883233 W)	not available	pumped seawater filtered through 200/100/10/1 um cascade onto 0.22 um PES (bacterial fraction)	2 m	1	2022_01_13_HAB_timeseries_DDA_48_21-17	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	not available	0.22 um	1 um	1	1	2022_01_13_HAB_timeseries_DDA_48_21-17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2 m
