source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
220608_04_Orbi3_MS_SER_G90_T115_Scheib_BL_20522.raw.tgz	220608_04_Orbi3_MS_SER_G90_T115_Scheib_BL_20522.raw.tgz	Homo sapiens	Tooth	not applicable	not available	Ancient_DNA_and_protein_preservation_and_transfer_in_concretions_covering_human_remains	Tooth	Tooth	not available	not available	not available	not available	1	220608_04_Orbi3_MS_SER_G90_T115_Scheib_BL_20522.raw.tgz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	220608_04_Orbi3_MS_SER_G90_T115_Scheib_BL_20522.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
220608_07_Orbi3_MS_SER_G90_T115_Scheib_calculus_PAL_001A.raw.tgz	220608_07_Orbi3_MS_SER_G90_T115_Scheib_calculus_PAL_001A.raw.tgz	Homo sapiens	Tooth	not applicable	not available	Ancient_DNA_and_protein_preservation_and_transfer_in_concretions_covering_human_remains	Tooth	Tooth	not available	not available	not available	not available	1	220608_07_Orbi3_MS_SER_G90_T115_Scheib_calculus_PAL_001A.raw.tgz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	220608_07_Orbi3_MS_SER_G90_T115_Scheib_calculus_PAL_001A.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
220608_10_Orbi3_MS_SER_G90_T115_Scheib_tooth_PAL_002E1.raw.tgz	220608_10_Orbi3_MS_SER_G90_T115_Scheib_tooth_PAL_002E1.raw.tgz	Homo sapiens	Tooth	not applicable	not available	Ancient_DNA_and_protein_preservation_and_transfer_in_concretions_covering_human_remains	Tooth	Tooth	not available	not available	not available	not available	1	220608_10_Orbi3_MS_SER_G90_T115_Scheib_tooth_PAL_002E1.raw.tgz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	220608_10_Orbi3_MS_SER_G90_T115_Scheib_tooth_PAL_002E1.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
220608_13_Orbi3_MS_SER_G90_T115_Scheib_concretion_PAL_002E2.raw.tgz	220608_13_Orbi3_MS_SER_G90_T115_Scheib_concretion_PAL_002E2.raw.tgz	Homo sapiens	Tooth	not applicable	not available	Ancient_DNA_and_protein_preservation_and_transfer_in_concretions_covering_human_remains	Tooth	Tooth	not available	not available	not available	not available	1	220608_13_Orbi3_MS_SER_G90_T115_Scheib_concretion_PAL_002E2.raw.tgz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	220608_13_Orbi3_MS_SER_G90_T115_Scheib_concretion_PAL_002E2.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
220608_16_Orbi3_MS_SER_G90_T115_Scheib_calculus_PAL_005A.raw.tgz	220608_16_Orbi3_MS_SER_G90_T115_Scheib_calculus_PAL_005A.raw.tgz	Homo sapiens	Tooth	not applicable	not available	Ancient_DNA_and_protein_preservation_and_transfer_in_concretions_covering_human_remains	Tooth	Tooth	not available	not available	not available	not available	1	220608_16_Orbi3_MS_SER_G90_T115_Scheib_calculus_PAL_005A.raw.tgz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	220608_16_Orbi3_MS_SER_G90_T115_Scheib_calculus_PAL_005A.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
220608_19_Orbi3_MS_SER_G90_T115_Scheib_tooth_PAL_005C1.raw.tgz	220608_19_Orbi3_MS_SER_G90_T115_Scheib_tooth_PAL_005C1.raw.tgz	Homo sapiens	Tooth	not applicable	not available	Ancient_DNA_and_protein_preservation_and_transfer_in_concretions_covering_human_remains	Tooth	Tooth	not available	not available	not available	not available	1	220608_19_Orbi3_MS_SER_G90_T115_Scheib_tooth_PAL_005C1.raw.tgz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	220608_19_Orbi3_MS_SER_G90_T115_Scheib_tooth_PAL_005C1.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
220608_22_Orbi3_MS_SER_G90_T115_Scheib_concretion_PAL_005C2.raw.tgz	220608_22_Orbi3_MS_SER_G90_T115_Scheib_concretion_PAL_005C2.raw.tgz	Homo sapiens	Tooth	not applicable	not available	Ancient_DNA_and_protein_preservation_and_transfer_in_concretions_covering_human_remains	Tooth	Tooth	not available	not available	not available	not available	1	220608_22_Orbi3_MS_SER_G90_T115_Scheib_concretion_PAL_005C2.raw.tgz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	220608_22_Orbi3_MS_SER_G90_T115_Scheib_concretion_PAL_005C2.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
220608_25_Orbi3_MS_SER_G90_T115_Scheib_concretion_chunk_PAL_005C3.raw.tgz	220608_25_Orbi3_MS_SER_G90_T115_Scheib_concretion_chunk_PAL_005C3.raw.tgz	Homo sapiens	Tooth	not applicable	not available	Ancient_DNA_and_protein_preservation_and_transfer_in_concretions_covering_human_remains	Tooth	Tooth	not available	not available	not available	not available	1	220608_25_Orbi3_MS_SER_G90_T115_Scheib_concretion_chunk_PAL_005C3.raw.tgz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	220608_25_Orbi3_MS_SER_G90_T115_Scheib_concretion_chunk_PAL_005C3.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
220608_28_Orbi3_MS_SER_G90_T115_Scheib_tooth_PAL_006A1.raw.tgz	220608_28_Orbi3_MS_SER_G90_T115_Scheib_tooth_PAL_006A1.raw.tgz	Homo sapiens	Tooth	not applicable	not available	Ancient_DNA_and_protein_preservation_and_transfer_in_concretions_covering_human_remains	Tooth	Tooth	not available	not available	not available	not available	1	220608_28_Orbi3_MS_SER_G90_T115_Scheib_tooth_PAL_006A1.raw.tgz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	220608_28_Orbi3_MS_SER_G90_T115_Scheib_tooth_PAL_006A1.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
220608_31_Orbi3_MS_SER_G90_T115_Scheib_concretion_PAL_006A2.raw.tgz	220608_31_Orbi3_MS_SER_G90_T115_Scheib_concretion_PAL_006A2.raw.tgz	Homo sapiens	Tooth	not applicable	not available	Ancient_DNA_and_protein_preservation_and_transfer_in_concretions_covering_human_remains	Tooth	Tooth	not available	not available	not available	not available	1	220608_31_Orbi3_MS_SER_G90_T115_Scheib_concretion_PAL_006A2.raw.tgz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	220608_31_Orbi3_MS_SER_G90_T115_Scheib_concretion_PAL_006A2.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
