source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[material type]	characteristics[biological replicate]	characteristics[immunopeptidome enrichment method]	characteristics[mhc protein complex]	characteristics[mhc typing]	characteristics[antibody enrichment]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms min mz]	comment[ms max mz]	comment[ms2 mass analyzer]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[source name]
MdB028	Homo sapiens	liver	hepatocyte	normal	not available	not available	MdB028	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB028_run1	proteomic profiling by mass spectrometry	2062_L_MdB070_3mei19_donor_MdB028_2_OT.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB028
MdB028	Homo sapiens	liver	hepatocyte	normal	not available	not available	MdB028	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB028_run2	proteomic profiling by mass spectrometry	2062_L_MdB070_3mei19_donor_MdB028_OT.raw	2	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB028
MdB029_HCC	Homo sapiens	liver	hepatocyte	hepatocellular carcinoma	not available	not available	MdB029	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB029_HCC_run1	proteomic profiling by mass spectrometry	2060_L_MdB069_1mei19_donor_MdB029_HCC_2_OT.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB029_HCC
MdB029_HCC	Homo sapiens	liver	hepatocyte	hepatocellular carcinoma	not available	not available	MdB029	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB029_HCC_run2	proteomic profiling by mass spectrometry	2060_L_MdB069_1mei19_donor_MdB029_HCC_OT.raw	2	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB029_HCC
MdB029_distant	Homo sapiens	liver	hepatocyte	normal	not available	not available	MdB029	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB029_distant_run1	proteomic profiling by mass spectrometry	2060_L_MdB069_1mei19_donor_MdB029_distant_2_OT.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB029_distant
MdB029_distant	Homo sapiens	liver	hepatocyte	normal	not available	not available	MdB029	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB029_distant_run2	proteomic profiling by mass spectrometry	2060_L_MdB069_1mei19_donor_MdB029_distant_OT.raw	2	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB029_distant
MdB030_distant	Homo sapiens	liver	hepatocyte	normal	not available	not available	MdB030	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB030_distant_run1	proteomic profiling by mass spectrometry	2065_L_MdB073_7mei19_donor_MdB030_distant_OT.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB030_distant
MdB030_distant	Homo sapiens	liver	hepatocyte	normal	not available	not available	MdB030	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB030_distant_run2	proteomic profiling by mass spectrometry	2065_L_MdB073_7mei19_donor_MdB030_distant_OT_20190513150950.raw	2	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB030_distant
MdB031	Homo sapiens	liver	hepatocyte	normal	not available	not available	MdB031	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB031_run1	proteomic profiling by mass spectrometry	2047_L_MdB_6jan2020_MdB031.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB031
MdB031	Homo sapiens	liver	hepatocyte	normal	not available	not available	MdB031	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB031_run2	proteomic profiling by mass spectrometry	2047_L_MdB_6jan2020_MdB031_20200107003149.raw	2	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB031
