source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[infection]
Mock1_distal_intestinal_organoid	NT=Artibeus jamaicensis;AC=NCBITaxon:9417	NT=gastrointestinal tract;AC=BTO:0000511	NT=intestinal epithelial cell;AC=CL:0002563	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	female	not applicable	bat003	cell	1	run_Mock1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	not applicable	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	1	Bimczok_090721_Sample_01_Mock1.dia	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	mock
Mock2_distal_intestinal_organoid	NT=Artibeus jamaicensis;AC=NCBITaxon:9417	NT=gastrointestinal tract;AC=BTO:0000511	NT=intestinal epithelial cell;AC=CL:0002563	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	female	not applicable	bat003	cell	1	run_Mock2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	not applicable	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	2	Bimczok_090721_Sample_02_Mock2.dia	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	mock
Mock3_distal_intestinal_organoid	NT=Artibeus jamaicensis;AC=NCBITaxon:9417	NT=gastrointestinal tract;AC=BTO:0000511	NT=intestinal epithelial cell;AC=CL:0002563	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	female	not applicable	bat003	cell	1	run_Mock3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	not applicable	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	3	Bimczok_090721_Sample_03_Mock3.dia	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	mock
Infected1_distal_intestinal_organoid	NT=Artibeus jamaicensis;AC=NCBITaxon:9417	NT=gastrointestinal tract;AC=BTO:0000511	NT=intestinal epithelial cell;AC=CL:0002563	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	female	not applicable	bat003	cell	1	run_Infected1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	not applicable	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	1	Bimczok_090721_Sample_04_Infected1.dia	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Severe acute respiratory syndrome coronavirus 2;AC=NCBITaxon:2697049
Infected2_distal_intestinal_organoid	NT=Artibeus jamaicensis;AC=NCBITaxon:9417	NT=gastrointestinal tract;AC=BTO:0000511	NT=intestinal epithelial cell;AC=CL:0002563	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	female	not applicable	bat003	cell	1	run_Infected2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	not applicable	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	2	Bimczok_090721_Sample_05_Infected2.dia	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Severe acute respiratory syndrome coronavirus 2;AC=NCBITaxon:2697049
Infected3_distal_intestinal_organoid	NT=Artibeus jamaicensis;AC=NCBITaxon:9417	NT=gastrointestinal tract;AC=BTO:0000511	NT=intestinal epithelial cell;AC=CL:0002563	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	female	not applicable	bat003	cell	1	run_Infected3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	not applicable	not available	not available	not available	not available	not available	not available	not available	not available	not available	1	3	Bimczok_090721_Sample_06_Infected3.dia	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Severe acute respiratory syndrome coronavirus 2;AC=NCBITaxon:2697049
