source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[tool metadata]	factor value[group]
WT_M	Neurospora crassa	Mycelium	not applicable	not applicable	not available	not available	not available	1	not available	20250618_N_crassa_01_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003094;NT=Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	1	20250618_N_crassa_01_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	MaxQuant_v2.7.0.0	WT
WT_M	Neurospora crassa	Mycelium	not applicable	not applicable	not available	not available	not available	2	not available	20250618_N_crassa_01_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003094;NT=Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	1	20250618_N_crassa_01_02.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	MaxQuant_v2.7.0.0	WT
WT_M	Neurospora crassa	Mycelium	not applicable	not applicable	not available	not available	not available	3	not available	20250618_N_crassa_01_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003094;NT=Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	1	20250618_N_crassa_01_03.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	MaxQuant_v2.7.0.0	WT
WT_M	Neurospora crassa	Mycelium	not applicable	not applicable	not available	not available	not available	4	not available	20250618_N_crassa_01_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003094;NT=Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	1	20250618_N_crassa_01_04.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	MaxQuant_v2.7.0.0	WT
WT_K	Neurospora crassa	Conidia	not applicable	not applicable	not available	not available	not available	1	not available	20250618_N_crassa_01_05	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003094;NT=Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	1	20250618_N_crassa_01_05.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	MaxQuant_v2.7.0.0	WT
WT_K	Neurospora crassa	Conidia	not applicable	not applicable	not available	not available	not available	2	not available	20250618_N_crassa_01_06	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003094;NT=Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	1	20250618_N_crassa_01_06.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	MaxQuant_v2.7.0.0	WT
WT_K	Neurospora crassa	Conidia	not applicable	not applicable	not available	not available	not available	3	not available	20250618_N_crassa_01_07	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003094;NT=Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	1	20250618_N_crassa_01_07.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	MaxQuant_v2.7.0.0	WT
WT_K	Neurospora crassa	Conidia	not applicable	not applicable	not available	not available	not available	4	not available	20250618_N_crassa_01_08	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003094;NT=Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	1	20250618_N_crassa_01_08.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	MaxQuant_v2.7.0.0	WT
ccg8_M	Neurospora crassa	Mycelium	not applicable	not applicable	not available	not available	not available	1	not available	20250618_N_crassa_01_09	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003094;NT=Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	1	20250618_N_crassa_01_09.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	MaxQuant_v2.7.0.0	delta ccg8
ccg8_M	Neurospora crassa	Mycelium	not applicable	not applicable	not available	not available	not available	2	not available	20250618_N_crassa_01_10	proteomic profiling by mass spectrometry	Data-dependent acquisition	AC=MS:1003094;NT=Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	1	20250618_N_crassa_01_10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	MaxQuant_v2.7.0.0	delta ccg8
