source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20200925_005_S224039_PRH8h_54_PRH8h	Medicago truncatula var. truncatula	Seed	1	20200925_005_S224039_PRH8h_54_PRH8h	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20200925_005_S224039_PRH8h_54_PRH8h.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seed
20200925_047_S224035_PRH2h_45_PRH2h	Medicago truncatula var. truncatula	Seed	1	20200925_047_S224035_PRH2h_45_PRH2h	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20200925_047_S224035_PRH2h_45_PRH2h.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seed
20200925_024_S224048_UPRH7h_73_UPRH8h	Medicago truncatula var. truncatula	Seed	1	20200925_024_S224048_UPRH7h_73_UPRH8h	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20200925_024_S224048_UPRH7h_73_UPRH8h.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seed
20200925_046_S224024_PDH2h_24_PDH2h	Medicago truncatula var. truncatula	Seed	1	20200925_046_S224024_PDH2h_24_PDH2h	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20200925_046_S224024_PDH2h_24_PDH2h.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seed
20200925_009_S224029_PDH4h_34_PDH4h	Medicago truncatula var. truncatula	Seed	1	20200925_009_S224029_PDH4h_34_PDH4h	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20200925_009_S224029_PDH4h_34_PDH4h.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seed
20200925_002_S224015_DS_5_DS	Medicago truncatula var. truncatula	Seed	1	20200925_002_S224015_DS_5_DS	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20200925_002_S224015_DS_5_DS.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seed
20200925_041_S224040_PRH8h_55_PRH8h	Medicago truncatula var. truncatula	Seed	1	20200925_041_S224040_PRH8h_55_PRH8h	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20200925_041_S224040_PRH8h_55_PRH8h.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seed
20200925_048_S224041_UPRH2h_61_UPRH2h	Medicago truncatula var. truncatula	Seed	1	20200925_048_S224041_UPRH2h_61_UPRH2h	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20200925_048_S224041_UPRH2h_61_UPRH2h.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seed
20200925_019_S224027_PDH4h_32_PDH4h	Medicago truncatula var. truncatula	Seed	1	20200925_019_S224027_PDH4h_32_PDH4h	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20200925_019_S224027_PDH4h_32_PDH4h.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seed
20200925_029_S224022_PDH2h_22_PDH2h	Medicago truncatula var. truncatula	Seed	1	20200925_029_S224022_PDH2h_22_PDH2h	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20200925_029_S224022_PDH2h_22_PDH2h.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seed
