source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[treatment]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
PXD025746-sample-1	mus musculus	brain	not applicable	not applicable	1	adult	male	C57BL/6J	untreated	Lum_21jan502_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TMT126;AC=PRIDE:0000516	NT=orbitrap fusion lumos;AC=MS:1002732	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iodoTMT6plex;AC=UNIMOD:1342;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Lum_21jan502.raw		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	untreated
PXD025746-sample-2	mus musculus	brain	not applicable	not applicable	2	adult	male	C57BL/6J	untreated	Lum_21jan502_TMT127	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TMT127;AC=PRIDE:0000517	NT=orbitrap fusion lumos;AC=MS:1002732	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iodoTMT6plex;AC=UNIMOD:1342;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Lum_21jan502.raw		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	untreated
PXD025746-sample-3	mus musculus	brain	not applicable	not applicable	3	adult	male	C57BL/6J	untreated	Lum_21jan502_TMT128	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TMT128;AC=PRIDE:0000520	NT=orbitrap fusion lumos;AC=MS:1002732	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iodoTMT6plex;AC=UNIMOD:1342;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Lum_21jan502.raw		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	untreated
PXD025746-sample-4	mus musculus	brain	not applicable	not applicable	1	adult	male	C57BL/6J	bisphenol A, high dose	Lum_21jan502_TMT129	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TMT129;AC=PRIDE:0000523	NT=orbitrap fusion lumos;AC=MS:1002732	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iodoTMT6plex;AC=UNIMOD:1342;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Lum_21jan502.raw		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	bisphenol A, high dose
PXD025746-sample-5	mus musculus	brain	not applicable	not applicable	2	adult	male	C57BL/6J	bisphenol A, high dose	Lum_21jan502_TMT130	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TMT130;AC=PRIDE:0000526	NT=orbitrap fusion lumos;AC=MS:1002732	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iodoTMT6plex;AC=UNIMOD:1342;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Lum_21jan502.raw		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	bisphenol A, high dose
PXD025746-sample-6	mus musculus	brain	not applicable	not applicable	3	adult	male	C57BL/6J	bisphenol A, high dose	Lum_21jan502_TMT131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TMT131;AC=PRIDE:0000529	NT=orbitrap fusion lumos;AC=MS:1002732	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iodoTMT6plex;AC=UNIMOD:1342;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Lum_21jan502.raw		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	bisphenol A, high dose
