source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
VL_20151001_ROD_01.raw__F010207_.mzid_VL_20151001_ROD_01.raw__F010207_	VL_20151001_ROD_01.raw_F010207_.mzid_VL_20151001_ROD_01.raw_F010207	Zea mays	not available	not applicable	not available	Metaproteomics_of_a_fermented_maize_dough	not available	not available	not available	not available	not available	not available	1	VL_20151001_ROD_01.raw__F010207_.mzid_VL_20151001_ROD_01.raw__F010207_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	VL_20151001_ROD_01.raw__F010207_.mzid_VL_20151001_ROD_01.raw__F010207_.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
VL_20151001_ROD_03	VL_20151001_ROD_03	Zea mays	not available	not applicable	not available	Metaproteomics_of_a_fermented_maize_dough	not available	not available	not available	not available	not available	not available	1	VL_20151001_ROD_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	VL_20151001_ROD_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
VL_20151001_ROD_03.raw__F010210_.mzid_VL_20151001_ROD_03.raw__F010210_	VL_20151001_ROD_03.raw_F010210_.mzid_VL_20151001_ROD_03.raw_F010210	Zea mays	not available	not applicable	not available	Metaproteomics_of_a_fermented_maize_dough	not available	not available	not available	not available	not available	not available	1	VL_20151001_ROD_03.raw__F010210_.mzid_VL_20151001_ROD_03.raw__F010210_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	VL_20151001_ROD_03.raw__F010210_.mzid_VL_20151001_ROD_03.raw__F010210_.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
VL_20151001_ROD_04	VL_20151001_ROD_04	Zea mays	not available	not applicable	not available	Metaproteomics_of_a_fermented_maize_dough	not available	not available	not available	not available	not available	not available	1	VL_20151001_ROD_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	VL_20151001_ROD_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
VL_20151001_ROD_05	VL_20151001_ROD_05	Zea mays	not available	not applicable	not available	Metaproteomics_of_a_fermented_maize_dough	not available	not available	not available	not available	not available	not available	1	VL_20151001_ROD_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	VL_20151001_ROD_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
VL_20151001_ROD_05.raw__F010212_.mzid_VL_20151001_ROD_05.raw__F010212_	VL_20151001_ROD_05.raw_F010212_.mzid_VL_20151001_ROD_05.raw_F010212	Zea mays	not available	not applicable	not available	Metaproteomics_of_a_fermented_maize_dough	not available	not available	not available	not available	not available	not available	1	VL_20151001_ROD_05.raw__F010212_.mzid_VL_20151001_ROD_05.raw__F010212_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	VL_20151001_ROD_05.raw__F010212_.mzid_VL_20151001_ROD_05.raw__F010212_.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
VL_20151001_ROD_07.raw__F010215_.mzid_VL_20151001_ROD_07.raw__F010215_	VL_20151001_ROD_07.raw_F010215_.mzid_VL_20151001_ROD_07.raw_F010215	Zea mays	not available	not applicable	not available	Metaproteomics_of_a_fermented_maize_dough	not available	not available	not available	not available	not available	not available	1	VL_20151001_ROD_07.raw__F010215_.mzid_VL_20151001_ROD_07.raw__F010215_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	VL_20151001_ROD_07.raw__F010215_.mzid_VL_20151001_ROD_07.raw__F010215_.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
VL_20151001_ROD_08	VL_20151001_ROD_08	Zea mays	not available	not applicable	not available	Metaproteomics_of_a_fermented_maize_dough	not available	not available	not available	not available	not available	not available	1	VL_20151001_ROD_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	VL_20151001_ROD_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
VL_20151001_ROD_09	VL_20151001_ROD_09	Zea mays	not available	not applicable	not available	Metaproteomics_of_a_fermented_maize_dough	not available	not available	not available	not available	not available	not available	1	VL_20151001_ROD_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	VL_20151001_ROD_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
VL_20151001_ROD_09_2.raw__F010225_1_.mzid_VL_20151001_ROD_09_2.raw__F010225_1_	VL_20151001_ROD_09_2.raw_F010225_1_.mzid_VL_20151001_ROD_09_2.raw_F010225_1	Zea mays	not available	not applicable	not available	Metaproteomics_of_a_fermented_maize_dough	not available	not available	not available	not available	not available	not available	1	VL_20151001_ROD_09_2.raw__F010225_1_.mzid_VL_20151001_ROD_09_2.raw__F010225_1_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	VL_20151001_ROD_09_2.raw__F010225_1_.mzid_VL_20151001_ROD_09_2.raw__F010225_1_.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
