source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]
LINCS Set1	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	1	cell line	LINCS Set1	not available	not available	not available	female	run 1	proteomic profiling by mass spectrometry	5	1	TMT10	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set1_Fr5_L01362.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set1	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	1	cell line	LINCS Set1	not available	not available	not available	female	run 2	proteomic profiling by mass spectrometry	7	1	TMT10	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set1_Fr7_L01364.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set1	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	1	cell line	LINCS Set1	not available	not available	not available	female	run 3	proteomic profiling by mass spectrometry	9	1	TMT10	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set1_Fr9b_L02547.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set2	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	2	cell line	LINCS Set2	not available	not available	not available	female	run 4	proteomic profiling by mass spectrometry	4	1	TMT10	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set2_Fr4b_L02554.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set2	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	2	cell line	LINCS Set2	not available	not available	not available	female	run 5	proteomic profiling by mass spectrometry	8	1	TMT10	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set2_Fr8b_L02558.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set2	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	2	cell line	LINCS Set2	not available	not available	not available	female	run 6	proteomic profiling by mass spectrometry	11	1	TMT10	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set2_Fr11b_L02561.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set3	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	3	cell line	LINCS Set3	not available	not available	not available	female	run 7	proteomic profiling by mass spectrometry	3	1	TMT10	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set3_Fr3b_L02576.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set3	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	3	cell line	LINCS Set3	not available	not available	not available	female	run 8	proteomic profiling by mass spectrometry	4	1	TMT10	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set3_Fr4_L01693.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set3	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	3	cell line	LINCS Set3	not available	not available	not available	female	run 9	proteomic profiling by mass spectrometry	6	1	TMT10	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set3_Fr6_L01695.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set3	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	3	cell line	LINCS Set3	not available	not available	not available	female	run 10	proteomic profiling by mass spectrometry	6	2	TMT10	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set3_Fr6b_L02579.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
