source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[disease]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell line]
PXD066279-sample-1	Homo sapiens	colon	HCT116	colon carcinoma	CVCL_0291	HCT 116	not available	48Y	male	1	PXD066279-assay-1-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolysed;MM=100.05243;TA=K;MT=Variable	NT=SDA hydrolysed;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	1	1	E240302_09_KL_HCT116_WT_PulldownID_nonXL_rep1_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HCT116
PXD066279-sample-1	Homo sapiens	colon	HCT116	colon carcinoma	CVCL_0291	HCT 116	not available	48Y	male	1	PXD066279-assay-1-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolysed;MM=100.05243;TA=K;MT=Variable	NT=SDA hydrolysed;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	1	2	E240302_10_KL_HCT116_WT_PulldownID_nonXL_rep1_inj2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HCT116
PXD066279-sample-1	Homo sapiens	colon	HCT116	colon carcinoma	CVCL_0291	HCT 116	not available	48Y	male	1	PXD066279-assay-1-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolysed;MM=100.05243;TA=K;MT=Variable	NT=SDA hydrolysed;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	1	3	E240302_11_KL_HCT116_WT_PulldownID_nonXL_rep1_inj3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HCT116
PXD066279-sample-2	Homo sapiens	colon	HCT116	colon carcinoma	CVCL_0291	HCT 116	not available	48Y	male	2	PXD066279-assay-2-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolysed;MM=100.05243;TA=K;MT=Variable	NT=SDA hydrolysed;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	1	1	E240302_13_KL_HCT116_WT_PulldownID_nonXL_rep2_inj1_20240305053952.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HCT116
PXD066279-sample-2	Homo sapiens	colon	HCT116	colon carcinoma	CVCL_0291	HCT 116	not available	48Y	male	2	PXD066279-assay-2-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolysed;MM=100.05243;TA=K;MT=Variable	NT=SDA hydrolysed;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	1	2	E240302_15_KL_HCT116_WT_PulldownID_nonXL_rep2_inj3_20240305030548.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HCT116
PXD066279-sample-2	Homo sapiens	colon	HCT116	colon carcinoma	CVCL_0291	HCT 116	not available	48Y	male	2	PXD066279-assay-2-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolysed;MM=100.05243;TA=K;MT=Variable	NT=SDA hydrolysed;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	1	3	E240302_15_KL_HCT116_WT_PulldownID_nonXL_rep2_inj3_20240305081411.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HCT116
PXD066279-sample-3	Homo sapiens	colon	HCT116 RPN11-biotin-TEV knock-in	colon carcinoma	CVCL_0291	HCT 116	not available	48Y	male	1	PXD066279-assay-3-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolysed;MM=100.05243;TA=K;MT=Variable	NT=SDA hydrolysed;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	1	1	E240705_07_KL_hRpn11-biotin_pulldownID_C1_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HCT116 RPN11-biotin-TEV knock-in
PXD066279-sample-3	Homo sapiens	colon	HCT116 RPN11-biotin-TEV knock-in	colon carcinoma	CVCL_0291	HCT 116	not available	48Y	male	1	PXD066279-assay-3-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolysed;MM=100.05243;TA=K;MT=Variable	NT=SDA hydrolysed;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	1	2	E240705_08_KL_hRpn11-biotin_pulldownID_C1_inj2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HCT116 RPN11-biotin-TEV knock-in
PXD066279-sample-3	Homo sapiens	colon	HCT116 RPN11-biotin-TEV knock-in	colon carcinoma	CVCL_0291	HCT 116	not available	48Y	male	1	PXD066279-assay-3-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolysed;MM=100.05243;TA=K;MT=Variable	NT=SDA hydrolysed;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	1	3	E240705_09_KL_hRpn11-biotin_pulldownID_C1_inj3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HCT116 RPN11-biotin-TEV knock-in
PXD066279-sample-4	Homo sapiens	colon	HCT116 RPN11-biotin-TEV knock-in	colon carcinoma	CVCL_0291	HCT 116	not available	48Y	male	2	PXD066279-assay-4-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolysed;MM=100.05243;TA=K;MT=Variable	NT=SDA hydrolysed;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	1	1	E240705_11_KL_hRpn11-biotin_pulldownID_C2_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HCT116 RPN11-biotin-TEV knock-in
