source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
TiO2_720Minutes_QErep1	aspergillus nidulans fgsc a4	not available	not applicable	not available	enrichment of phosphorylated protein	1	TiO2_720Minutes_QErep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	TiO2_720Minutes_QErep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000715/TiO2_720Minutes_QErep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
TiO2_720MinutesQErep2	aspergillus nidulans fgsc a4	not available	not applicable	not available	enrichment of phosphorylated protein	1	TiO2_720MinutesQErep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	TiO2_720MinutesQErep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000715/TiO2_720MinutesQErep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
