source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
C2_3	triticum aestivum	leaf	not applicable	not available	3	C2_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	7 ppm	0.5 Da	1	1	C2_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000540/C2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
C2_2	triticum aestivum	leaf	not applicable	not available	2	C2_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	7 ppm	0.5 Da	1	1	C2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000540/C2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
C_3	triticum aestivum	leaf	not applicable	not available	3	C_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	7 ppm	0.5 Da	1	1	C_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000540/C_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
C_1	triticum aestivum	leaf	not applicable	not available	1	C_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	7 ppm	0.5 Da	1	1	C_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000540/C_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
C_2	triticum aestivum	leaf	not applicable	not available	2	C_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	7 ppm	0.5 Da	1	1	C_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000540/C_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
C2_1	triticum aestivum	leaf	not applicable	not available	1	C2_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	7 ppm	0.5 Da	1	1	C2_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000540/C2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
