source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
LC_da1-4	Oryza sativa	Leaf	1	LC_da1-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	LC_da1-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
LC_da1-3	Oryza sativa	Leaf	1	LC_da1-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	LC_da1-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
A9	Oryza sativa	Leaf	1	A9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	A9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
A6	Oryza sativa	Leaf	1	A6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	A6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
A11	Oryza sativa	Leaf	1	A11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	A11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
A3	Oryza sativa	Leaf	1	A3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	A3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
A1	Oryza sativa	Leaf	1	A1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	A1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
A14	Oryza sativa	Leaf	1	A14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	A14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
A13	Oryza sativa	Leaf	1	A13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	A13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
A4	Oryza sativa	Leaf	1	A4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	A4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
A2	Oryza sativa	Leaf	1	A2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	A2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
A10	Oryza sativa	Leaf	1	A10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	A10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
A8	Oryza sativa	Leaf	1	A8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	A8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
A5	Oryza sativa	Leaf	1	A5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	A5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
A12	Oryza sativa	Leaf	1	A12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	A12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
A7	Oryza sativa	Leaf	1	A7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	A7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
B3	Oryza sativa	Leaf	1	B3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	B3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
C13	Oryza sativa	Leaf	1	C13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	C13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
C7	Oryza sativa	Leaf	1	C7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	C7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
C14	Oryza sativa	Leaf	1	C14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	C14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
B9	Oryza sativa	Leaf	1	B9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	B9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
B13	Oryza sativa	Leaf	1	B13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	B13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
C6	Oryza sativa	Leaf	1	C6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	C6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
C12	Oryza sativa	Leaf	1	C12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	C12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
B1	Oryza sativa	Leaf	1	B1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	B1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
C2	Oryza sativa	Leaf	1	C2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	C2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
B6	Oryza sativa	Leaf	1	B6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	B6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
B11	Oryza sativa	Leaf	1	B11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	B11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
B8	Oryza sativa	Leaf	1	B8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	B8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
