source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[biorepository]	characteristics[culture medium]	characteristics[passage number]	characteristics[cell line authentication]	characteristics[sample storage temperature]	characteristics[genotype]	characteristics[compound]	characteristics[dose]	characteristics[treatment]	characteristics[sampling time]	characteristics[exposure duration]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[sampling time]
PANC1_vehicle_r1	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	not applicable	not applicable	untreated	not available	not applicable	1	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_01_150427_Xuwang_ctr_1_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	untreated	not available
PANC1_B6_r1	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	Birinapant	100 nM	birinapant	6 hour	6 hour	1	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_02_150427_Xuwang_B6_1_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant	6 hour
PANC1_B24_r1	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	Birinapant	100 nM	birinapant	24 hour	24 hour	1	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_03_150427_Xuwang_B24_1_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant	24 hour
PANC1_B48_r1	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	Birinapant	100 nM	birinapant	48 hour	48 hour	1	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	re_B02_04_150427_Xuwang_B48_1_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant	48 hour
PANC1_B72_r1	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	Birinapant	100 nM	birinapant	72 hour	72 hour	1	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_05_150427_Xuwang_B72_1_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant	72 hour
PANC1_P6_r1	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	paclitaxel	10 nM	paclitaxel	6 hour	6 hour	1	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_06_150427_Xuwang_P6_1_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	paclitaxel	6 hour
PANC1_P24_r1	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	paclitaxel	10 nM	paclitaxel	24 hour	24 hour	1	run 7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_07_150427_Xuwang_P24_1_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	paclitaxel	24 hour
PANC1_P48_r1	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	paclitaxel	10 nM	paclitaxel	48 hour	48 hour	1	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_08_150427_Xuwang_P48_1_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	paclitaxel	48 hour
PANC1_P72_r1	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	paclitaxel	10 nM	paclitaxel	72 hour	72 hour	1	run 9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_09_150427_Xuwang_P72_1_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	paclitaxel	72 hour
PANC1_PB6_r1	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	not applicable	not applicable	birinapant and paclitaxel	6 hour	6 hour	1	run 10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_10_150427_Xuwang_PB6_1_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant and paclitaxel	6 hour
PANC1_PB24_r1	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	not applicable	not applicable	birinapant and paclitaxel	24 hour	24 hour	1	run 11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_11_150427_Xuwang_PB24_1_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant and paclitaxel	24 hour
