source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[biological replicate]	material type	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]
PXD003903-Sample-1	homo sapiens	Embryonic stem cell	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	20 ppm	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD003903/PT4708-8.raw	PT4708-8.raw
PXD003903-Sample-2	homo sapiens	Embryonic stem cell	not available	not available	not available	not available	1	cell	not available	not available	run 2	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	20 ppm	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD003903/PT4835-1.raw	PT4835-1.raw
PXD003903-Sample-3	homo sapiens	Embryonic stem cell	not available	not available	not available	not available	1	cell	not available	not available	run 3	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	20 ppm	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD003903/PT4816-3.raw	PT4816-3.raw
PXD003903-Sample-4	homo sapiens	Embryonic stem cell	not available	not available	not available	not available	1	cell	not available	not available	run 4	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	20 ppm	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD003903/PT4834-14.raw	PT4834-14.raw
PXD003903-Sample-5	homo sapiens	Embryonic stem cell	not available	not available	not available	not available	1	cell	not available	not available	run 5	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	20 ppm	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD003903/PT4834-15.raw	PT4834-15.raw
PXD003903-Sample-6	homo sapiens	Embryonic stem cell	not available	not available	not available	not available	1	cell	not available	not available	run 6	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	20 ppm	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD003903/PT4835-9.raw	PT4835-9.raw
PXD003903-Sample-7	homo sapiens	Embryonic stem cell	not available	not available	not available	not available	1	cell	not available	not available	run 7	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	20 ppm	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD003903/PT4710-16.raw	PT4710-16.raw
PXD003903-Sample-8	homo sapiens	Embryonic stem cell	not available	not available	not available	not available	1	cell	not available	not available	run 8	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	20 ppm	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD003903/PT4823-7.raw	PT4823-7.raw
PXD003903-Sample-9	homo sapiens	Embryonic stem cell	not available	not available	not available	not available	1	cell	not available	not available	run 9	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	20 ppm	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD003903/PT4711-3.raw	PT4711-3.raw
PXD003903-Sample-10	homo sapiens	Embryonic stem cell	not available	not available	not available	not available	1	cell	not available	not available	run 10	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	20 ppm	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD003903/PT4530-16.raw	PT4530-16.raw
