source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[cell subtype]	characteristics[developmental stage]	characteristics[individual]	characteristics[origin]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cell part]	comment[file uri]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cell type]
PXD026135-Sample 1	Homo sapiens	blood	normal	regulatory T cell	not available	not available	CD4-positive, alpha-beta T cell	not available	1	Purchased from SCT	not available	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F1_a.raw	2.2 Da	10 ppm	1	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F1_a.raw	cd4
PXD026135-Sample 2	Homo sapiens	blood	normal	regulatory T cell	not available	not available	CD4-positive, alpha-beta T cell	not available	1	Purchased from SCT	not available	1	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F1_b.raw	2.2 Da	10 ppm	1	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F1_b.raw	cd4
PXD026135-Sample 3	Homo sapiens	blood	normal	regulatory T cell	not available	not available	CD4-positive, alpha-beta T cell	not available	1	Purchased from SCT	not available	1	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F1_c.raw	2.2 Da	10 ppm	1	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F1_c.raw	cd4
PXD026135-Sample 4	Homo sapiens	blood	normal	regulatory T cell	not available	not available	CD4-positive, alpha-beta T cell	not available	1	Purchased from SCT	not available	1	run 4	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F2_a.raw	2.2 Da	10 ppm	1	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F2_a.raw	cd4
PXD026135-Sample 5	Homo sapiens	blood	normal	regulatory T cell	not available	not available	CD4-positive, alpha-beta T cell	not available	1	Purchased from SCT	not available	1	run 5	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F2_b.raw	2.2 Da	10 ppm	1	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F2_b.raw	cd4
PXD026135-Sample 6	Homo sapiens	blood	normal	regulatory T cell	not available	not available	CD4-positive, alpha-beta T cell	not available	1	Purchased from SCT	not available	1	run 6	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F2_c.raw	2.2 Da	10 ppm	1	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F2_c.raw	cd4
PXD026135-Sample 7	Homo sapiens	blood	normal	regulatory T cell	not available	not available	CD4-positive, alpha-beta T cell	not available	1	Purchased from SCT	not available	1	run 7	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F3_a.raw	2.2 Da	10 ppm	1	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F3_a.raw	cd4
PXD026135-Sample 8	Homo sapiens	blood	normal	regulatory T cell	not available	not available	CD4-positive, alpha-beta T cell	not available	1	Purchased from SCT	not available	1	run 8	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F3_b.raw	2.2 Da	10 ppm	1	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F3_b.raw	cd4
PXD026135-Sample 9	Homo sapiens	blood	normal	regulatory T cell	not available	not available	CD4-positive, alpha-beta T cell	not available	1	Purchased from SCT	not available	1	run 9	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F3_c.raw	2.2 Da	10 ppm	1	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F3_c.raw	cd4
PXD026135-Sample 10	Homo sapiens	blood	normal	regulatory T cell	not available	not available	CD4-positive, alpha-beta T cell	not available	1	Purchased from SCT	not available	1	run 10	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F4_a.raw	2.2 Da	10 ppm	1	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F4_a.raw	cd4
PXD026135-Sample 11	Homo sapiens	blood	normal	regulatory T cell	not available	not available	CD4-positive, alpha-beta T cell	not available	1	Purchased from SCT	not available	1	run 11	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F4_b.raw	2.2 Da	10 ppm	1	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F4_b.raw	cd4
