source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[instrument]	comment[technical replicate]	comment[fraction identifier]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[label]
Pepmix1	Homo sapiens	cell	1	cell	run 1	proteomic profiling by mass spectrometry	Pepmix1_ETD.RAW	NT=LTQ Orbitrap;AC=MS:1000449	1	1	NT=Electron transfer dissociation;AC=MS:1000598	NT=Phosphorylation;TA=S;MT=Variable;AC=Unimod:21	NT=Acetylation;PP=Any N-term;MT=Variable;AC=Unimod:1	NT=Monohydroxylation;TA=K;MT=Variable;AC=Unimod:34	NT=2-pyrrolidone-5-carboxylic acid;TA=E;MT=Variable;AC=Unimod:27	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification
Pepmix1	Homo sapiens	cell	2	cell	run 2	proteomic profiling by mass spectrometry	Pepmix1_ETD_2.RAW	NT=LTQ Orbitrap;AC=MS:1000449	2	1	NT=Electron transfer dissociation;AC=MS:1000598	NT=Phosphorylation;TA=S;MT=Variable;AC=Unimod:21	NT=Acetylation;PP=Any N-term;MT=Variable;AC=Unimod:1	NT=Monohydroxylation;TA=K;MT=Variable;AC=Unimod:34	NT=2-pyrrolidone-5-carboxylic acid;TA=E;MT=Variable;AC=Unimod:27	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification
Pepmix2	Homo sapiens	cell	1	cell	run 3	proteomic profiling by mass spectrometry	Pepmix2_HCD.RAW	NT=LTQ Orbitrap;AC=MS:1000449	1	1	NT=Higher energy collision dissociation;AC=MS:1000422	NT=Phosphorylation;TA=S;MT=Variable;AC=Unimod:21	NT=Acetylation;PP=Any N-term;MT=Variable;AC=Unimod:1	NT=Monohydroxylation;TA=K;MT=Variable;AC=Unimod:34	NT=2-pyrrolidone-5-carboxylic acid;TA=E;MT=Variable;AC=Unimod:27	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification
Pepmix3	Homo sapiens	cell	1	cell	run 4	proteomic profiling by mass spectrometry	Pepmix3_ETD.RAW	NT=LTQ Orbitrap;AC=MS:1000449	1	1	NT=Electron transfer dissociation;AC=MS:1000598	NT=Phosphorylation;TA=S;MT=Variable;AC=Unimod:21	NT=Acetylation;PP=Any N-term;MT=Variable;AC=Unimod:1	NT=Monohydroxylation;TA=K;MT=Variable;AC=Unimod:34	NT=2-pyrrolidone-5-carboxylic acid;TA=E;MT=Variable;AC=Unimod:27	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification
Pepmix3	Homo sapiens	cell	2	cell	run 5	proteomic profiling by mass spectrometry	Pepmix3_ETD_2.RAW	NT=LTQ Orbitrap;AC=MS:1000449	2	1	NT=Electron transfer dissociation;AC=MS:1000598	NT=Phosphorylation;TA=S;MT=Variable;AC=Unimod:21	NT=Acetylation;PP=Any N-term;MT=Variable;AC=Unimod:1	NT=Monohydroxylation;TA=K;MT=Variable;AC=Unimod:34	NT=2-pyrrolidone-5-carboxylic acid;TA=E;MT=Variable;AC=Unimod:27	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification
Pepmix3	Homo sapiens	cell	3	cell	run 6	proteomic profiling by mass spectrometry	Pepmix3_HCD.RAW	NT=LTQ Orbitrap;AC=MS:1000449	3	1	NT=Higher energy collision dissociation;AC=MS:1000422	NT=Phosphorylation;TA=S;MT=Variable;AC=Unimod:21	NT=Acetylation;PP=Any N-term;MT=Variable;AC=Unimod:1	NT=Monohydroxylation;TA=K;MT=Variable;AC=Unimod:34	NT=2-pyrrolidone-5-carboxylic acid;TA=E;MT=Variable;AC=Unimod:27	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification
Pepmix4	Homo sapiens	cell	1	cell	run 7	proteomic profiling by mass spectrometry	Pepmix4_ETD_2.RAW	NT=LTQ Orbitrap;AC=MS:1000449	1	1	NT=Electron transfer dissociation;AC=MS:1000598	NT=Phosphorylation;TA=S;MT=Variable;AC=Unimod:21	NT=Acetylation;PP=Any N-term;MT=Variable;AC=Unimod:1	NT=Monohydroxylation;TA=K;MT=Variable;AC=Unimod:34	NT=2-pyrrolidone-5-carboxylic acid;TA=E;MT=Variable;AC=Unimod:27	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification
Pepmix5	Homo sapiens	cell	1	cell	run 8	proteomic profiling by mass spectrometry	Pepmix5_ETD.RAW	NT=LTQ Orbitrap;AC=MS:1000449	1	1	NT=Electron transfer dissociation;AC=MS:1000598	NT=Phosphorylation;TA=S;MT=Variable;AC=Unimod:21	NT=Acetylation;PP=Any N-term;MT=Variable;AC=Unimod:1	NT=Monohydroxylation;TA=K;MT=Variable;AC=Unimod:34	NT=2-pyrrolidone-5-carboxylic acid;TA=E;MT=Variable;AC=Unimod:27	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification
Pepmix5	Homo sapiens	cell	2	cell	run 9	proteomic profiling by mass spectrometry	Pepmix5_ETD_2.RAW	NT=LTQ Orbitrap;AC=MS:1000449	2	1	NT=Electron transfer dissociation;AC=MS:1000598	NT=Phosphorylation;TA=S;MT=Variable;AC=Unimod:21	NT=Acetylation;PP=Any N-term;MT=Variable;AC=Unimod:1	NT=Monohydroxylation;TA=K;MT=Variable;AC=Unimod:34	NT=2-pyrrolidone-5-carboxylic acid;TA=E;MT=Variable;AC=Unimod:27	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification
Pepmix5	Homo sapiens	cell	3	cell	run 10	proteomic profiling by mass spectrometry	Pepmix5_HCD.RAW	NT=LTQ Orbitrap;AC=MS:1000449	3	1	NT=Higher energy collision dissociation;AC=MS:1000422	NT=Phosphorylation;TA=S;MT=Variable;AC=Unimod:21	NT=Acetylation;PP=Any N-term;MT=Variable;AC=Unimod:1	NT=Monohydroxylation;TA=K;MT=Variable;AC=Unimod:34	NT=2-pyrrolidone-5-carboxylic acid;TA=E;MT=Variable;AC=Unimod:27	AC=MS:1001251;NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	label-free quantification
