source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
Ecoli_1	Escherichia coli	ribosome	not available	1	not available	Proteomics Assay	proteomic profiling by mass spectrometry	1	200519_05_Orbi1_KN_SER_G120_T145_TYMRI_Reier_E7_1_5ug.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	8 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_2	Escherichia coli	ribosome	not available	2	not available	Proteomics Assay	proteomic profiling by mass spectrometry	1	200515_19_Orbi1_KN_SER_G120_T145_TYMRI_Reier_E18_1_5ug.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	8 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_3	Escherichia coli	ribosome	not available	3	not available	Proteomics Assay	proteomic profiling by mass spectrometry	1	200515_13_Orbi1_KN_SER_G120_T145_TYMRI_Reier_E15_1_5ug.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	8 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_4	Escherichia coli	ribosome	not available	4	not available	Proteomics Assay	proteomic profiling by mass spectrometry	1	200518_11_Orbi1_KN_SER_G120_T145_TYMRI_Reier_E12_1_5ug.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	8 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_5	Escherichia coli	ribosome	not available	5	not available	Proteomics Assay	proteomic profiling by mass spectrometry	1	200518_15_Orbi1_KN_SER_G120_T145_TYMRI_Reier_E14_1_5ug.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	8 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_6	Escherichia coli	ribosome	not available	6	not available	Proteomics Assay	proteomic profiling by mass spectrometry	1	200520_05_Orbi1_KN_SER_G120_T145_TYMRI_Reier_E22_1_5ug.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	8 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_7	Escherichia coli	ribosome	not available	7	not available	Proteomics Assay	proteomic profiling by mass spectrometry	1	200515_03_Orbi1_KN_SER_G120_T145_TYMRI_Reier_E17_1_5ug.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	8 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_8	Escherichia coli	ribosome	not available	8	not available	Proteomics Assay	proteomic profiling by mass spectrometry	1	200520_03_Orbi1_KN_SER_G120_T145_TYMRI_Reier_E1_1_5ug.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	8 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_9	Escherichia coli	ribosome	not available	9	not available	Proteomics Assay	proteomic profiling by mass spectrometry	1	200520_07_Orbi1_KN_SER_G120_T145_TYMRI_Reier_E23_1_5ug.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	8 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_10	Escherichia coli	ribosome	not available	10	not available	Proteomics Assay	proteomic profiling by mass spectrometry	1	200519_09_Orbi1_KN_SER_G120_T145_TYMRI_Reier_E4_1_5ug.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	8 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
