source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
PRIDE_Exp_Complete_Ac_30845.pride	Phytophthora infestans	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_30845.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_30845.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/03/PXD000433/generated/PRIDE_Exp_Complete_Ac_30845.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_30825.pride	Phytophthora infestans	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_30825.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_30825.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/03/PXD000433/generated/PRIDE_Exp_Complete_Ac_30825.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_30870.pride	Phytophthora infestans	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_30870.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_30870.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/03/PXD000433/generated/PRIDE_Exp_Complete_Ac_30870.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_30824.pride	Phytophthora infestans	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_30824.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_30824.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/03/PXD000433/generated/PRIDE_Exp_Complete_Ac_30824.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_30868.pride	Phytophthora infestans	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_30868.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_30868.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/03/PXD000433/generated/PRIDE_Exp_Complete_Ac_30868.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_30853.pride	Phytophthora infestans	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_30853.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_30853.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/03/PXD000433/generated/PRIDE_Exp_Complete_Ac_30853.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_30829.pride	Phytophthora infestans	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_30829.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_30829.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/03/PXD000433/generated/PRIDE_Exp_Complete_Ac_30829.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_30859.pride	Phytophthora infestans	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_30859.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_30859.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/03/PXD000433/generated/PRIDE_Exp_Complete_Ac_30859.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_30869.pride	Phytophthora infestans	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_30869.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_30869.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/03/PXD000433/generated/PRIDE_Exp_Complete_Ac_30869.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_30864.pride	Phytophthora infestans	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_30864.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	PRIDE_Exp_Complete_Ac_30864.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/03/PXD000433/generated/PRIDE_Exp_Complete_Ac_30864.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
